Code,Output,Obfuscate
'let str = 'hello world';console.log(str.toUpperCase());,"Error: Command '['node', '-e', ""'let str = 'hello world';console.log(str.toUpperCase());""]' returned non-zero exit status 1.",
"let name = ""Carlo""; console.log(name + "" is a great example."");",Carlo is a great example.,
"let string = ""JavaScript"";console.log(string);
",JavaScript,
"let sentence = ""This is a simple javascript statement.""; console.log(sentence);",This is a simple javascript statement.,
"'console.log(1 + 2 + ""45"" + 6 + 7);';",,
"let greetings = 'Hello, World!';console.log(greetings);","Hello, World!",
'let name = 'Mario';console.log(name + ' Bros.;'console.log('1985';,"Error: Command '['node', '-e', ""'let name = 'Mario';console.log(name + ' Bros.;'console.log('1985';""]' returned non-zero exit status 1.",
let number = 9; console.log(number + number);,18,
const name = 'Carlo'; console.log(name);,Carlo,
let x = 1; let y = 2; console.log(x + y);,3,
let sum = 5+5;console.log(sum);,10,
"let name = 'Carlo';console.log(name);console.log('Hello', name + '!');","Carlo
Hello Carlo!",
'let num1 = 1;let num2 = 2;console.log(num1 + num2);',,
let name = 'Ada';console.log(name);,Ada,
"let greeting = ""Hello World!"";console.log(greeting);",Hello World!,
"let x = 5;
let y = 10;
console.log(x+y);",15,
"let name = ""Carlo"";console.log(name);",Carlo,
"'let friends = [""john"", ""jacob"", ""jingle"", ""heimer"", ""smith""];console.log(friends[Math.floor(Math.random()*friends.length)]);","Error: Command '['node', '-e', '\'let friends = [""john"", ""jacob"", ""jingle"", ""heimer"", ""smith""];console.log(friends[Math.floor(Math.random()*friends.length)]);']' returned non-zero exit status 1.",
"let name = ""William Afton""; console.log(name + "" is a fictional character."");",William Afton is a fictional character.,
let name = 'Carlo';console.log(name);console.log('Carlo');console.log(`Carlo`),"Carlo
Carlo
Carlo",
let age = 18;console.log(age >= 18 ? 'adult' : 'child');,adult,
'console.log(5 * (1 + 2));',,
"console.log(""This is a string literal;"")",This is a string literal;,
"console.log('This','is','a','simple','javascript','program');",This is a simple javascript program,
console.log('Hello Coders!');,Hello Coders!,
"let name = 'Carlo'; console.log(name + ', ' + 'Marlo');","Carlo, Marlo",
"function greet(name) {console.log(""Hello,""+name+""!"");}greet(""John"")","Hello,John!",
"let name = 'Carlo';console.log(name);let age = 25;console.log(age);let hobby = 'programming';console.log(hobby);let quote = '""Live and learn""';console.log(quote);let fact = 1 + 1 == 2;console.log(fact);","Carlo
25
programming
""Live and learn""
true",
"let name = ""Carlo"";console.log(name);",Carlo,
let wow = 'HOLA';console.log(wow);,HOLA,
"let x = 10, y = 5, sum = x + y; console.log(sum);",15,
const input = prompt('Enter a number:'); console.log(parseInt(input) + 10);,"Error: Command '['node', '-e', ""const input = prompt('Enter a number:'); console.log(parseInt(input) + 10);""]' returned non-zero exit status 1.",
"let x = -2, y = 0, z = 2; console.log(x+y+z);",0,
let number = 16; console.log(number + 9);,25,
"let name = ""Carlo""; console.log(name);",Carlo,
let name = 'Carlo'; console.log(name);,Carlo,
let a = 10; b = 20; console.log(a * b - 1),199,
'let value = (3 + 7) * 2;console.log(value);',,
const num1 = 1; const num2 = 2; console.log(num1 + num2);,3,
"""let pi = 3.14159;"";
""console.log(pi);"";",,
"let msg = ""Hello""; console. log(msg + "" World!"");",Hello World!,
"let name = ""John Doe""; console.log(`Name: ${name}`);",Name: John Doe,
"let a = new Array(1,2,3);a.push(4);a.push(5);a.pop();console.log(a);","[ 1, 2, 3, 4 ]",
typeof(false);console.log(arguments.callee.name);,"Error: Command '['node', '-e', 'typeof(false);console.log(arguments.callee.name);']' returned non-zero exit status 1.",
"let name = ""Carlo""; console.log(name);",Carlo,
"let name = ""Carlo"";console.log(name);",Carlo,
let num = 12345;console.log(num + 1);,12346,
"let name = ""Carlo""; console.log(name); console.log(name.length); console.log(name.length+5);","Carlo
5
10",
console.log(50*.5-30/2+1);,11,
"let hello=""Hello,""; let world = ""World!""; console.log(hello, world);","Hello, World!",
"const arr = [1, 2, 3];console.log(arr.map(x => x * x));","[ 1, 4, 9 ]",
let num = 4*5;console.log(num);,20,
let name = 'Eric';console.log(name);console.log(name + ' Ortiz');,"Eric
Eric Ortiz",
"let name = ""Carlo"";console.log(name + "", oh, "" + name);","Carlo, oh, Carlo",
"""Hello JavaScript""; console.log(""Hello JavaScript"");",Hello JavaScript,
console.log('Hello World!');,Hello World!,
let name = 'Carlo'; console.log(name); let age = 34; console.log(age);,"Carlo
34",
let total = 100 - 20; console.log(total),80,
let name = 'Carlo';console.log(name + '!'),Carlo!,
let number = 8;console.log(number);,8,
"`let name =""john"";let age = 35; console.log(name + "" is "" + age);`",,
let num = 100;console.log(num);,100,
let name = 'Carlo'; console.log(name);,Carlo,
'console.log(4*4);',,
console.log('JavaScript');console.log('is');console.log('fun');,"JavaScript
is
fun",
"console.log(Math.pow(2,10));",1024,
let number = 5;console.log(number + 10);,15,
const a = 1 + 5;console.log(a);,6,
"let allNames = ['John', 'Susan', 'Jack', 'Jill'];console.log(allNames);","[ 'John', 'Susan', 'Jack', 'Jill' ]",
"let name = ""John""; let age = 21; console.log(name + "", "" + age);","John, 21",
"let greetings = 'Hello, world!';console.log(greetings);","Hello, world!",
let str = 'This string will be printed';console.log(str);,This string will be printed,
"console.log(""Hello World"")",Hello World,
"let name = ""Carlo""; console.log(""Hi, "" + name + ""!"");","Hi, Carlo!",
"let arr = [1,2,3,4,5,6,7,8,9,10]; console.log(arr.length);",10,
let x = 5; let y = 12.5; console.log(x / y);,0.4,
"'console.log(""Hello World"");'",,
