code,output
let concatStr = ''; for (let i = 0; i < 5; i++) { concatStr += 'Z'; } console.log(concatStr);,ZZZZZ
let numbers = []; for (let i = 1; i <= 4; i++) { numbers.push(i * 3); } console.log(numbers);,"[ 3, 6, 9, 12 ]"
let totalSum = 0; for (let i = 0; i < 6; i++) { totalSum += (i + 1) * 2; } console.log(totalSum);,42
let factorial = 1; for (let i = 1; i <= 5; i++) { factorial *= i; } console.log(factorial);,120
let doubleSum = 0; for (let i = 0; i < 5; i++) { doubleSum += i * 2; } console.log(doubleSum);,20
let str = ''; for (let i = 0; i < 3; i++) { str += 'xyz'; } console.log(str);,xyzxyzxyz
let product = 1; for (let i = 1; i <= 6; i++) { product *= i - 1; } console.log(product);,0
let sequence = ''; for (let i = 1; i <= 4; i++) { sequence += i + '-'; } console.log(sequence);,1-2-3-4-
let count = 0; for (let i = 1; i <= 10; i++) { count += 1; } console.log(count);,10
let sum = 0; for (let i = 1; i <= 7; i++) { sum += i * 4; } console.log(sum);,112
let str = ''; for (let i = 0; i < 4; i++) { str += 'hello' + i; } console.log(str);,hello0hello1hello2hello3
let total = 0; for (let i = 0; i < 5; i++) { total += 3 * i; } console.log(total);,30
let squares = []; for (let i = 1; i <= 5; i++) { squares.push(i * i); } console.log(squares);,"[ 1, 4, 9, 16, 25 ]"
let sum = 0; for (let i = 0; i < 10; i++) { sum += i % 3; } console.log(sum);,9
let series = 0; for (let i = 1; i <= 10; i++) { series += i * 3; } console.log(series);,165
let sum = 0; let i = 0; while (i < 10) { let add = i * 2; sum += add; i++; } console.log(sum);,90
let factorial = 1; let i = 1; while (i <= 6) { factorial *= i; i++; } console.log(factorial);,720
let total = 0; for (let i = 1; i <= 100; i++) { total += i; } console.log(total);,5050
let product = 1; for (let i = 1; i <= 4; i++) { product *= 2; } console.log(product);,16
let count = 0; let i = 1; while (i <= 20) { count += i; i += 2; } console.log(count);,100
let result = 1; for (let i = 1; i <= 5; i++) { result *= i; } console.log(result);,120
let sum = 0; for (let i = 1; i <= 10; i++) { sum += i; } console.log(sum);,55
let num = 0;let i = 1;while(i <= 5){num += i;i++;}console.log(num);,15
"let str = """";for(let i = 0; i < 5; i++){str += ""*"";}console.log(str);",*****
let total = 0; for (let i = 1; i <= 5; i++) { let square = i * i; total += square; } console.log(total);,55
let result = 0; let i = 1; while (i <= 7) { result += i * 4; i++; } console.log(result);,112
let sum = 0; for (let i = 5; i <= 50; i += 5) { sum += i; } console.log(sum);,275
let product = 1; let i = 1; while (i <= 4) { product *= i * 2; i++; } console.log(product);,384
let count = 0; for (let i = 10; i > 0; i--) { count += i; } console.log(count);,55
let sum = 0; for (let i = 1; i <= 9; i++) { let cube = i * i * i; sum += cube; } console.log(sum);,2025
let total = 0; let i = 3; while (i <= 15) { total += i * 3; i++; } console.log(total);,351
let result = 1; for (let i = 1; i <= 6; i++) { result *= 2; } console.log(result);,64
let sum = 0; let i = 2; while (i <= 12) { sum += i * 4; i += 2; } console.log(sum);,168
let product = 1; for (let i = 1; i <= 5; i++) { product *= i + 1; } console.log(product);,720
let aggregate = 0; for (let x = 0; x < 8; x++) { aggregate += x * 3; } console.log(aggregate);,84
let counter = 0; let n = 1; while (n <= 9) { counter += n * 2; n++; } console.log(counter);,90
let tally = 0; for (let j = 1; j <= 6; j++) { tally += j * j; } console.log(tally);,91
let sum = 0; let m = 2; while (m <= 20) { sum += m; m += 2; } console.log(sum);,110
let total = 0; for (let k = 1; k <= 7; k++) { total += k * 5; } console.log(total);,140
let mult = 1; let y = 1; while (y <= 4) { mult *= y + 2; y++; } console.log(mult);,360
let result = 0; for (let i = 3; i <= 12; i += 3) { result += i; } console.log(result);,30
let aggregate = 1; let p = 1; while (p <= 5) { aggregate *= p * 2; p++; } console.log(aggregate);,3840
let sum = 0; for (let q = 1; q <= 15; q++) { sum += q * 2; } console.log(sum);,240
let total = 0; let r = 1; while (r <= 10) { total += r * r; r++; } console.log(total);,385
let acc = 0; for (let a = 0; a < 6; a++) { acc += a * 4; } console.log(acc);,60
let count = 0; let b = 1; while (b <= 10) { count += b * b; b++; } console.log(count);,385
let total = 0; for (let c = 2; c <= 16; c += 2) { total += c; } console.log(total);,72
let product = 1; let d = 1; while (d <= 5) { product *= d + 3; d++; } console.log(product);,6720
let sum = 0; for (let e = 1; e <= 7; e++) { sum += e * e * e; } console.log(sum);,784
let aggregate = 0; let f = 1; while (f <= 8) { aggregate += f * 5; f++; } console.log(aggregate);,180
let result = 0; for (let g = 1; g <= 9; g++) { result += g * 3; } console.log(result);,135
let total = 1; let h = 2; while (h <= 6) { total *= h; h++; } console.log(total);,720
let sum = 0; for (let i = 1; i <= 12; i++) { sum += i * 2; } console.log(sum);,156
let prod = 1; let j = 1; while (j <= 4) { prod *= j * j; j++; } console.log(prod);,576
let result = 0; for (let a = 1; a <= 6; a++) { result += a * 4; } console.log(result);,84
let sum = 0; let b = 0; while (b < 10) { sum += b * b; b++; } console.log(sum);,285
let total = 0; for (let c = 3; c <= 30; c += 3) { total += c; } console.log(total);,165
let product = 1; let d = 2; while (d <= 8) { product *= d - 1; d++; } console.log(product);,5040
let aggregate = 0; for (let e = 1; e <= 10; e++) { aggregate += e * 2; } console.log(aggregate);,110
let totalSum = 0; let beta = 1; while (beta <= 8) { totalSum += beta * beta; beta++; } console.log(totalSum);,204
let grandTotal = 0; for (let gamma = 2; gamma <= 12; gamma += 2) { grandTotal += gamma; } console.log(grandTotal);,42
let finalProduct = 1; let delta = 1; while (delta <= 6) { finalProduct *= delta + 1; delta++; } console.log(finalProduct);,5040
let finalSum = 0; let zeta = 1; while (zeta <= 7) { finalSum += zeta * 4; zeta++; } console.log(finalSum);,112
let accumulatedSum = 0; let theta = 0; while (theta < 9) { accumulatedSum += theta * theta; theta++; } console.log(accumulatedSum);,204
let aggregateTotal = 0; for (let iota = 1; iota <= 5; iota++) { aggregateTotal += iota * iota * iota; } console.log(aggregateTotal);,225
let cumulativeSum = 0; let kappa = 1; while (kappa <= 6) { cumulativeSum += kappa * 3; kappa++; } console.log(cumulativeSum);,63
let runningTotal = 0; for (let m = 1; m <= 5; m++) { runningTotal += m * 5; } console.log(runningTotal);,75
let calcSum = 0; let n = 1; while (n <= 8) { calcSum += n * 2; n++; } console.log(calcSum);,72
let seriesSum = 0; let p = 1; while (p <= 9) { seriesSum += p * p; p++; } console.log(seriesSum);,285
let finalCount = 0; let r = 2; while (r <= 10) { finalCount += r; r += 2; } console.log(finalCount);,30
let loopSum = 0; let v = 1; while (v <= 6) { loopSum += v * 4; v++; } console.log(loopSum);,84
let overallSum = 0; let t = 0; while (t < 7) { overallSum += t * 3; t++; } console.log(overallSum);,63
let totalProduct = 1; for (let s = 1; s <= 4; s++) { totalProduct *= s * 2; } console.log(totalProduct);,384
let finalSum = 0; for (let w = 1; w <= 15; w++) { finalSum += w * 2; } console.log(finalSum);,240
let sum = 0; for (let i = 0; i < 5; i++) { sum += i * 2; } console.log(sum);,20
let count = 10; while (count > 0) { count -= 2; } console.log(count);,0
let product = 1; for (let i = 1; i <= 4; i++) { product *= i; } console.log(product);,24
let total = 0; for (let i = 1; i <= 3; i++) { total += i + 1; } console.log(total);,9
let result = 0; let j = 1; while (j <= 5) { result += j * j; j++; } console.log(result);,55
let num = 1; for (let i = 0; i < 6; i++) { num += i; } console.log(num);,16
let sumSquares = 0; let k = 1; while (k < 4) { sumSquares += k * k; k++; } console.log(sumSquares);,14
let factorial = 1; for (let i = 1; i <= 5; i++) { factorial *= i; } console.log(factorial);,120
let sumOdd = 0; for (let i = 1; i <= 7; i += 2) { sumOdd += i; } console.log(sumOdd);,16
let cubeSum = 0; let n = 1; while (n <= 3) { cubeSum += n * n * n; n++; } console.log(cubeSum);,36
"let alpha = """"; for (let i = 65; i < 70; i++) { alpha += String.fromCharCode(i); } console.log(alpha);",ABCDE
"let charSeq = """"; let m = 97; while (m < 102) { charSeq += String.fromCharCode(m); m++; } console.log(charSeq);",abcde
let totalSum = 0; for (let i = 10; i < 15; i++) { totalSum += i; } console.log(totalSum);,60
let counter = 0; for (let i = 0; i < 5; i++) { counter += 2; } console.log(counter);,10
let decrement = 100; let i = 0; while (i < 5) { decrement -= 10; i++; } console.log(decrement);,50
let accum = 0; for (let i = 1; i <= 10; i++) { accum += i; } console.log(accum);,55
"let serial = """"; let n = 1; while (n <= 5) { serial += n + "" ""; n++; } console.log(serial.trim());",1 2 3 4 5
let evenSum = 0; for (let i = 2; i <= 10; i += 2) { evenSum += i; } console.log(evenSum);,30
let squareSum = 0; for (let i = 1; i <= 4; i++) { squareSum += i * i; } console.log(squareSum);,30
let multiply = 1; let x = 1; while (x <= 4) { multiply *= x; x++; } console.log(multiply);,24
"let alphabet = """"; for (let i = 0; i < 5; i++) { alphabet += String.fromCharCode(97 + i); } console.log(alphabet);",abcde
let oddSum = 0; for (let i = 1; i <= 9; i += 2) { oddSum += i; } console.log(oddSum);,25
let totalProd = 1; for (let i = 1; i <= 6; i++) { totalProd *= i; } console.log(totalProd);,720
"let alphaSeq = """"; let i = 65; while (i < 70) { alphaSeq += String.fromCharCode(i); i++; } console.log(alphaSeq);",ABCDE
"let numSeries = """"; for (let i = 1; i <= 5; i++) { numSeries += i.toString(); } console.log(numSeries);",12345
let productSeries = 1; let j = 2; while (j <= 5) { productSeries *= j; j++; } console.log(productSeries);,120
let cumulativeSum = 0; for (let i = 0; i <= 4; i++) { cumulativeSum += i; } console.log(cumulativeSum);,10
let stepSum = 0; for (let i = 0; i <= 8; i += 2) { stepSum += i; } console.log(stepSum);,20
let decrementSum = 50; let y = 0; while (y < 5) { decrementSum -= 5; y++; } console.log(decrementSum);,25
let sumRange = 0; for (let i = 5; i < 10; i++) { sumRange += i; } console.log(sumRange);,35
"let powerSum = 0; let p = 1; while (p <= 3) { powerSum += Math.pow(p, 2); p++; } console.log(powerSum);",14
"let alphaConcat = """"; for (let i = 65; i < 70; i++) { alphaConcat += String.fromCharCode(i); } console.log(alphaConcat);",ABCDE
"let fibonacci = [0, 1]; for (let i = 2; i < 6; i++) { fibonacci[i] = fibonacci[i - 1] + fibonacci[i - 2]; } console.log(fibonacci.join("", ""));","0, 1, 1, 2, 3, 5"
"let hexString = """"; let k = 0; while (k < 5) { hexString += k.toString(16); k++; } console.log(hexString);",01234
let decimalSum = 0; for (let i = 0.5; i < 3; i += 0.5) { decimalSum += i; } console.log(decimalSum);,7.5
"let sequence = """"; for (let i = 1; i <= 6; i++) { sequence += i; } console.log(sequence);",123456
let totalValue = 0; let z = 2; while (z <= 10) { totalValue += z; z += 2; } console.log(totalValue);,30
"let alphaNumeric = """"; for (let i = 65; i < 70; i++) { alphaNumeric += String.fromCharCode(i) + (i - 64); } console.log(alphaNumeric);",A1B2C3D4E5
let productSum = 1; for (let i = 2; i <= 6; i++) { productSum *= i; } console.log(productSum);,720
"let hexChars = """"; let h = 10; while (h < 16) { hexChars += h.toString(16); h++; } console.log(hexChars);",abcdef
"let evenNumbers = """"; for (let i = 2; i <= 8; i += 2) { evenNumbers += i + "" ""; } console.log(evenNumbers.trim());",2 4 6 8
let oddProduct = 1; let o = 1; while (o < 10) { oddProduct *= o; o += 2; } console.log(oddProduct);,945
"let charCodes = """"; for (let i = 97; i < 102; i++) { charCodes += String.fromCharCode(i); } console.log(charCodes);",abcde
let doubleSum = 0; for (let i = 1; i <= 4; i++) { doubleSum += i * 2; } console.log(doubleSum);,20
let tripleSum = 0; let t = 1; while (t <= 5) { tripleSum += t * 3; t++; } console.log(tripleSum);,45
"let numbers = """"; for (let i = 5; i < 10; i++) { numbers += i; } console.log(numbers);",56789
let decrementValue = 20; let d = 0; while (d < 4) { decrementValue -= 3; d++; } console.log(decrementValue);,8
"let alphabetSeries = """"; for (let i = 65; i < 68; i++) { alphabetSeries += String.fromCharCode(i) + String.fromCharCode(i + 32); } console.log(alphabetSeries);",AaBbCc
let sumDiff = 0; for (let i = 0; i < 5; i++) { sumDiff += i - 1; } console.log(sumDiff);,5
let productDiff = 1; let pd = 1; while (pd <= 4) { productDiff *= (pd + 2); pd++; } console.log(productDiff);,360
let sumOfSquares = 0; for (let i = 1; i <= 4; i++) { sumOfSquares += i * i; } console.log(sumOfSquares);,30
"let letterCombo = """"; let lc = 97; while (lc < 102) { letterCombo += String.fromCharCode(lc) + String.fromCharCode(lc - 32); lc++; } console.log(letterCombo);",aAbBcCdDeE
let reverseSum = 0; for (let i = 10; i >= 6; i--) { reverseSum += i; } console.log(reverseSum);,40
let fractionalSum = 0; let f = 1; while (f <= 5) { fractionalSum += f / 2; f++; } console.log(fractionalSum);,7.5
let fractionalSum = 0; let f = 1; while (f <= 5) { fractionalSum += f / 2; f++; } console.log(fractionalSum);,7.5
"let alphaNum = """"; for (let i = 65; i < 70; i++) { alphaNum += String.fromCharCode(i) + (i - 64).toString(); } console.log(alphaNum);",A1B2C3D4E5
"let repetitiveChar = """"; let r = 3; while (r > 0) { repetitiveChar += ""A""; r--; } console.log(repetitiveChar);",AAA
let mixedSum = 0; for (let i = 1; i <= 3; i++) { mixedSum += i + i * 2; } console.log(mixedSum);,18
"let alphaCount = """"; for (let i = 0; i < 5; i++) { alphaCount += String.fromCharCode(65 + i) + i; } console.log(alphaCount);",A0B1C2D3E4
let squareProduct = 1; for (let i = 1; i <= 3; i++) { squareProduct *= i * i; } console.log(squareProduct);,36
"let letterSeries = """"; let l = 97; while (l < 100) { letterSeries += String.fromCharCode(l); l++; } console.log(letterSeries);",abc
let sumIncrements = 0; for (let i = 0; i < 6; i++) { sumIncrements += i + 2; } console.log(sumIncrements);,27
let totalMultiples = 0; let m = 1; while (m <= 4) { totalMultiples += m * 3; m++; } console.log(totalMultiples);,30
let combinedProduct = 1; for (let i = 2; i <= 5; i++) { combinedProduct *= i + 1; } console.log(combinedProduct);,360
let decrementProduct = 100; let d = 2; while (d < 6) { decrementProduct -= d * 4; d++; } console.log(decrementProduct);,44
let asciiSum = 0; for (let i = 65; i < 70; i++) { asciiSum += i; } console.log(asciiSum);,335
"let charSequence = """"; let c = 120; while (c < 125) { charSequence += String.fromCharCode(c); c++; } console.log(charSequence);",xyz{|
let multiplySum = 0; for (let i = 1; i <= 3; i++) { multiplySum += i * 5; } console.log(multiplySum);,30
"let numConcat = """"; let n = 5; while (n < 10) { numConcat += n.toString(); n++; } console.log(numConcat);",56789
let factorialSum = 1; for (let i = 1; i <= 4; i++) { factorialSum *= i; } console.log(factorialSum);,24
"let sumAlpha = """"; let a = 97; while (a < 102) { sumAlpha += String.fromCharCode(a); a++; } console.log(sumAlpha);",abcde
let cumulativeProduct = 1; for (let i = 1; i <= 5; i++) { cumulativeProduct *= i; } console.log(cumulativeProduct);,120
"let fibonacciSeq = [0, 1]; for (let i = 2; i < 6; i++) { fibonacciSeq[i] = fibonacciSeq[i - 1] + fibonacciSeq[i - 2]; } console.log(fibonacciSeq.join("", ""));","0, 1, 1, 2, 3, 5"
let decimalProduct = 1; let p = 0.5; while (p < 2.5) { decimalProduct *= p; p += 0.5; } console.log(decimalProduct);,1.5
let reverseProduct = 1; for (let i = 5; i >= 1; i--) { reverseProduct *= i; } console.log(reverseProduct);,120
let sumRange = 0; let r = 10; while (r > 5) { sumRange += r; r--; } console.log(sumRange);,40
let productIncrement = 1; for (let i = 1; i <= 4; i++) { productIncrement *= i + 2; } console.log(productIncrement);,360
"let alphaSum = """"; let s = 65; while (s < 70) { alphaSum += String.fromCharCode(s) + String.fromCharCode(s + 32); s++; } console.log(alphaSum);",AaBbCcDdEe
let seriesSum = 0; let v = 1; while (v <= 5) { seriesSum += v * 2; v++; } console.log(seriesSum);,30
"let combinedSeq = """"; for (let i = 1; i <= 4; i++) { combinedSeq += i + ""A""; } console.log(combinedSeq);",1A2A3A4A
"let charSum = """"; for (let i = 97; i < 102; i++) { charSum += String.fromCharCode(i); } console.log(charSum);",abcde
"let numSeries = """"; let n = 1; while (n <= 5) { numSeries += n; n++; } console.log(numSeries);",12345
let doubleProduct = 1; for (let i = 1; i <= 3; i++) { doubleProduct *= i * 2; } console.log(doubleProduct);,48
"let asciiConcat = """"; let a = 65; while (a < 70) { asciiConcat += String.fromCharCode(a); a++; } console.log(asciiConcat);",ABCDE
let numProduct = 1; for (let a = 1; a <= 5; a++) { numProduct *= a; } console.log(numProduct);,120
let totalValue = 0; for (let c = 0; c < 6; c++) { totalValue += c + 3; } console.log(totalValue);,33
"let sequence = """"; for (let i = 1; i <= 6; i++) { sequence += i + "",""; } console.log(sequence.slice(0, -1));","1,2,3,4,5,6"
"let alphaNumeric = """"; for (let k = 65; k < 70; k++) { alphaNumeric += String.fromCharCode(k) + (k - 64); } console.log(alphaNumeric);",A1B2C3D4E5
let productSum = 1; for (let p = 2; p <= 5; p++) { productSum *= p + 1; } console.log(productSum);,360
"let numString = """"; for (let r = 1; r <= 5; r++) { numString += r.toString(); } console.log(numString);",12345
let omegaSum = 0; for (let zeta = 1; zeta <= 5; zeta++) { omegaSum += zeta * 2; } console.log(omegaSum);,30
let gammaProduct = 1; let delta = 1; while (delta <= 4) { gammaProduct *= delta + 1; delta++; } console.log(gammaProduct);,120
let lambdaTotal = 100; let kappa = 2; while (kappa < 7) { lambdaTotal -= kappa * 5; kappa++; } console.log(lambdaTotal);,0
let xiSum = 0; let omicron = 3; while (omicron <= 9) { xiSum += omicron; omicron += 3; } console.log(xiSum);,18
"let piSeries = """"; for (let rho = 65; rho < 68; rho++) { piSeries += String.fromCharCode(rho) + "" ""; } console.log(piSeries.trim());",A B C
let sigmaTotal = 0; let tau = 1; while (tau <= 5) { sigmaTotal += tau * tau; tau++; } console.log(sigmaTotal);,55
let etaSum = 0; for (let zeta = 0; zeta < 6; zeta++) { etaSum += zeta + 1; } console.log(etaSum);,21
"let chiString = """"; let psi = 65; while (psi < 71) { chiString += String.fromCharCode(psi) + ""-""; psi++; } console.log(chiString.slice(0, -1));",A-B-C-D-E-F
"let thetaSeries = """"; let iota = 97; while (iota < 102) { thetaSeries += String.fromCharCode(iota); iota++; } console.log(thetaSeries);",abcde
let nuSum = 0; let mu = 2; while (mu <= 8) { nuSum += mu; mu += 2; } console.log(nuSum);,20
let a = 5; let b = 3; let sum = a + b; console.log(sum);,8
let x = 10; let y = 2; let result = x / y; console.log(result);,5
let a = 5; let b = 10; let sum = a + b; console.log(sum);,15
"let name = ""Alice""; let greeting = ""Hello, "" + name; console.log(greeting);","Hello, Alice"
let x = 3; let y = 4; let product = x * y; console.log(product);,12
"let firstName = ""John""; let lastName = ""Doe""; let fullName = firstName + "" "" + lastName; console.log(fullName);",John Doe
let temperatureC = 25; let temperatureF = temperatureC * 9/5 + 32; console.log(temperatureF);,77
let length = 10; let width = 5; let perimeter = 2 * (length + width); console.log(perimeter);,30
let base = 4; let height = 3; let areaTriangle = 0.5 * base * height; console.log(areaTriangle);,6
let num1 = 8; let num2 = 2; let division = num1 / num2; console.log(division);,4
"let item = ""apple""; let quantity = 5; let message = ""You have "" + quantity + "" "" + item + ""s.""; console.log(message);",You have 5 apples.
let age = 20; let isAdult = age >= 18; console.log(isAdult);,true
let side = 6; let volumeCube = side ** 3; console.log(volumeCube);,216
let mass = 70; let heightM = 1.75; let bmi = mass / (heightM ** 2); console.log(bmi);,22.857142857142858
let speed = 60; let time = 2; let distance = speed * time; console.log(distance);,120
let price = 100; let discount = 0.2; let discountedPrice = price * (1 - discount); console.log(discountedPrice);,80
let minutes = 90; let hours = minutes / 60; console.log(hours);,1.5
let dollars = 50; let euros = dollars * 0.85; console.log(euros);,42.5
let base2 = 5; let exponent = 3; let power = base2 ** exponent; console.log(power);,125
let numA = 14; let numB = 3; let remainder = numA % numB; console.log(remainder);,2
let a = 7; let b = 3; let difference = a - b; console.log(difference);,4
let celsius = 30; let kelvin = celsius + 273.15; console.log(kelvin);,303.15
let meters = 100; let centimeters = meters * 100; console.log(centimeters);,10000
let hoursWorked = 40; let hourlyRate = 15; let salary = hoursWorked * hourlyRate; console.log(salary);,600
let score1 = 85; let score2 = 90; let score3 = 78; let averageScore = (score1 + score2 + score3) / 3; console.log(averageScore);,84.33333333333333
let width = 10; let height = 20; let areaRectangle = width * height; console.log(areaRectangle);,200
let initialAmount = 200; let interestRate = 0.05; let interest = initialAmount * interestRate; console.log(interest);,10
let sideA = 5; let sideB = 12; let hypotenuse = Math.sqrt(sideA ** 2 + sideB ** 2); console.log(hypotenuse);,13
let oranges = 8; let apples = 6; let totalFruits = oranges + apples; console.log(totalFruits);,14
let pricePerItem = 25; let quantityBought = 4; let totalPrice = pricePerItem * quantityBought; console.log(totalPrice);,100
let number = 49; let squareRoot = Math.sqrt(number); console.log(squareRoot);,7
let distance = 150; let fuelConsumed = 15; let fuelEfficiency = distance / fuelConsumed; console.log(fuelEfficiency);,10
let earthRadius = 6371; let circumferenceEarth = 2 * Math.PI * earthRadius; console.log(circumferenceEarth);,40030.173592041145
let baseSalary = 50000; let bonus = 5000; let totalSalary = baseSalary + bonus; console.log(totalSalary);,55000
let baseLength = 6; let heightTriangle = 4; let triangleArea = (baseLength * heightTriangle) / 2; console.log(triangleArea);,12
let pounds = 150; let kilograms = pounds * 0.453592; console.log(kilograms);,68.0388
let age1 = 25; let age2 = 30; let ageDifference = age2 - age1; console.log(ageDifference);,5
let income = 60000; let taxRate = 0.2; let tax = income * taxRate; console.log(tax);,12000
let length1 = 15; let length2 = 25; let totalLength = length1 + length2; console.log(totalLength);,40
"let base3 = 9; let exponent3 = 2; let power3 = Math.pow(base3, exponent3); console.log(power3);",81
let mass1 = 80; let height1 = 1.8; let bmi1 = mass1 / (height1 ** 2); console.log(bmi1);,24.691358024691358
let fahrenheit = 100; let celsius2 = (fahrenheit - 32) * 5/9; console.log(celsius2);,37.77777777777778
let miles = 10; let kilometers = miles * 1.60934; console.log(kilometers);,16.0934
let numC = 20; let numD = 4; let quotient = numC / numD; console.log(quotient);,5
let liters = 2; let milliliters = liters * 1000; console.log(milliliters);,2000
"let radius3 = 5; let volumeSphere = (4/3) * Math.PI * Math.pow(radius3, 3); console.log(volumeSphere);",523.5987755982989
let currentYear = 2024; let birthYear = 2000; let age = currentYear - birthYear; console.log(age);,24
let books = 7; let pricePerBook = 12; let totalCost = books * pricePerBook; console.log(totalCost);,84
let angleDegrees = 45; let angleRadians = angleDegrees * (Math.PI / 180); console.log(angleRadians);,0.7853981633974483
let base4 = 10; let height4 = 5; let parallelogramArea = base4 * height4; console.log(parallelogramArea);,50
let waterIntake = 2; let glasses = waterIntake * 4; console.log(glasses);,8
let discountPrice = 150; let discountPercent = 0.1; let finalPrice = discountPrice * (1 - discountPercent); console.log(finalPrice);,135
let booksRead = 15; let days = 30; let booksPerDay = booksRead / days; console.log(booksPerDay);,0.5
"let base5 = 3; let exponent5 = 4; let power5 = Math.pow(base5, exponent5); console.log(power5);",81
let degreesF = 212; let degreesC = (degreesF - 32) * 5/9; console.log(degreesC);,100
"let radius5 = 7; let sphereSurfaceArea = 4 * Math.PI * Math.pow(radius5, 2); console.log(sphereSurfaceArea);",615.7521601035994
let initialSpeed = 20; let acceleration = 5; let timeElapsed = 3; let finalSpeed = initialSpeed + (acceleration * timeElapsed); console.log(finalSpeed);,35
let money = 500; let cost = 275; let change = money - cost; console.log(change);,225
let monthlyRent = 1200; let months = 12; let yearlyRent = monthlyRent * months; console.log(yearlyRent);,14400
let sales = 1000; let commissionRate = 0.1; let commission = sales * commissionRate; console.log(commission);,100
let base6 = 8; let exponent6 = 3; let power6 = base6 ** exponent6; console.log(power6);,512
let cupsOfSugar = 2; let cupsPerBatch = 0.5; let batches = cupsOfSugar / cupsPerBatch; console.log(batches);,4
let heightInFeet = 6; let heightInInches = heightInFeet * 12; console.log(heightInInches);,72
let carPrice = 25000; let downPayment = 5000; let loanAmount = carPrice - downPayment; console.log(loanAmount);,20000
let temperatureK = 300; let temperatureC2 = temperatureK - 273.15; console.log(temperatureC2);,26.850000000000023
let stockPrice = 150; let sharesBought = 10; let investment = stockPrice * sharesBought; console.log(investment);,1500
let totalMarks = 450; let marksObtained = 400; let percentage = (marksObtained / totalMarks) * 100; console.log(percentage);,88.88888888888889
"let word = ""hello""; let letter = word[1]; console.log(letter);",e
let squareSide = 5; let squarePerimeter = 4 * squareSide; console.log(squarePerimeter);,20
"let radius6 = 9; let circleArea = Math.PI * Math.pow(radius6, 2); console.log(circleArea);",254.46900494077323
let costPrice = 40; let sellingPrice = 50; let profit = sellingPrice - costPrice; console.log(profit);,10
let length1 = 12; let width1 = 6; let rectangleArea = length1 * width1; console.log(rectangleArea);,72
let length2 = 14; let width2 = 8; let perimeter2 = 2 * (length2 + width2); console.log(perimeter2);,44
let euros2 = 70; let conversionRate = 1.1; let dollars2 = euros2 * conversionRate; console.log(dollars2);,77
let speed2 = 80; let time2 = 1.5; let distance2 = speed2 * time2; console.log(distance2);,120
let base7 = 6; let exponent7 = 2; let power7 = base7 ** exponent7; console.log(power7);,36
let hoursWorked2 = 45; let overtimeRate = 20; let overtimePay = hoursWorked2 * overtimeRate; console.log(overtimePay);,900
let radius7 = 4; let diameter = 2 * radius7; console.log(diameter);,8
let apples = 10; let oranges2 = 15; let totalFruits2 = apples + oranges2; console.log(totalFruits2);,25
let numE = 36; let numF = 6; let division2 = numE / numF; console.log(division2);,6
let radius8 = 10; let circumference2 = 2 * Math.PI * radius8; console.log(circumference2);,62.83185307179586
let itemCost = 120; let discountRate = 0.2; let discountedPrice2 = itemCost * (1 - discountRate); console.log(discountedPrice2);,96
let base9 = 2; let exponent9 = 5; let power9 = base9 ** exponent9; console.log(power9);,32
let item1Price = 25; let item2Price = 35; let totalPrice2 = item1Price + item2Price; console.log(totalPrice2);,60
let fahrenheit2 = 68; let celsius3 = (fahrenheit2 - 32) * 5/9; console.log(celsius3);,20
"let radius9 = 6; let sphereVolume = (4/3) * Math.PI * Math.pow(radius9, 3); console.log(sphereVolume);",904.7786842338603
let cost = 75; let taxRate = 0.07; let taxAmount = cost * taxRate; console.log(taxAmount);,5.250000000000001
"let radius10 = 12; let surfaceArea = 4 * Math.PI * Math.pow(radius10, 2); console.log(surfaceArea);",1809.5573684677208
"let base10 = 7; let exponent10 = 3; let power10 = Math.pow(base10, exponent10); console.log(power10);",343
let kilometers2 = 100; let miles2 = kilometers2 * 0.621371; console.log(miles2);,62.137100000000004
let hoursWorked3 = 50; let hourlyRate2 = 18; let totalPay = hoursWorked3 * hourlyRate2; console.log(totalPay);,900
let totalMinutes = 120; let hoursConverted = totalMinutes / 60; console.log(hoursConverted);,2
let radius11 = 15; let circleCircumference = 2 * Math.PI * radius11; console.log(circleCircumference);,94.24777960769379
let pounds2 = 180; let kilograms2 = pounds2 * 0.453592; console.log(kilograms2);,81.64656
let totalItems = 150; let defectiveItems = 5; let percentageDefective = (defectiveItems / totalItems) * 100; console.log(percentageDefective);,3.3333333333333335
"let base12 = 9; let exponent12 = 2; let power12 = Math.pow(base12, exponent12); console.log(power12);",81
let age2 = 22; let isTeen = age2 >= 13 && age2 <= 19; console.log(isTeen);,false
let side1 = 5; let side2 = 5; let isSquare = side1 === side2; console.log(isSquare);,true
let price3 = 80; let discount2 = 0.15; let finalPrice2 = price3 * (1 - discount2); console.log(finalPrice2);,68
let totalSeconds = 3600; let hoursConverted2 = totalSeconds / 3600; console.log(hoursConverted2);,1
let mass2 = 90; let height2 = 1.9; let bmi2 = mass2 / (height2 ** 2); console.log(bmi2);,24.930747922437675
let investment2 = 5000; let annualReturnRate = 0.08; let annualReturn = investment2 * annualReturnRate; console.log(annualReturn);,400
let m = 8; let n = 2; let total = m + n; console.log(total);,10
"let city = ""Paris""; let welcomeMessage = ""Welcome to "" + city; console.log(welcomeMessage);",Welcome to Paris
let p = 7; let q = 5; let diff = p - q; console.log(diff);,2
