code,obfuscatedCode,originalOutput,obfuscatedOutput,cosineSimilarity,stringSimilarity,equivalent
"const lightStatus = ""off""; if (lightStatus === ""on"") { console.log(""The light is on""); } else { console.log(""The light is off""); }","const lightStatus=""off"";function a(){let a=10;a++;a*=2;console.log(a);}if(lightStatus===""on""){console.log(""The light is on"");}else{console.log(""The light is off"");}","The light is off
","The light is off
",0.9585,0.6463,False
"let color = ""blue""; if (color === ""red"") { console.log(""The color is red.""); } else if (color === ""blue"") { console.log(""The color is blue.""); } else { console.log(""The color is neither red nor blue.""); }","let color=""blue"";if(color===""red""){console.log(""The color is red."");}else if(color===""blue""){console.log(""The color is blue."");}else{console.log(""The color is neither red nor blue."");}function foo(){let a=1;a++;a=a*2;}foo()","The color is blue.
","The color is blue.
",0.9534,0.7444,False
"const isAvailable = true; if (isAvailable) { console.log(""Item is available.""); } else { console.log(""Item is not available.""); }",const isAvailable = true;if (isAvailable) {console.log('Item is available.');} else {console.log('Item is not available.');};function dummy(){let x=10;x++;x=x*2;return x;};dummy();,"Item is available.
","Item is available.
",0.9412,0.65,False
"let age = 65; if (age >= 65) { console.log(""Eligible for senior discount.""); } else { console.log(""Not eligible for senior discount.""); }",let age=65;let x=10;x++;x--;if(age>=65){console.log('Eligible for senior discount.');}else{console.log('Not eligible for senior discount.');},"Eligible for senior discount.
","Eligible for senior discount.
",0.9697,0.773,False
"const examResult = ""pass""; if (examResult === ""pass"") { console.log(""Congratulations!""); } else { console.log(""Better luck next time.""); }","const examResult = ""pass""; const foo = 7; const bar = foo * 2; if (examResult === ""pass"") { console.log(""Congratulations!""); } else { console.log(""Better luck next time.""); }","Congratulations!
","Congratulations!
",0.9854,0.7931,False
"let temperature = -5; if (temperature < 0) { console.log(""It's freezing.""); } else { console.log(""It's not freezing.""); }","let temperature=-5;let foo=10;foo++;foo--;if(temperature<0){console.log(""It's freezing."");}else{console.log(""It's not freezing."");}","It's freezing.
","It's freezing.
",0.9683,0.7405,False
"const userStatus = ""active""; if (userStatus === ""active"") { console.log(""User is active.""); } else { console.log(""User is inactive.""); }","const userStatus=""active"";if(userStatus===""active""){console.log(""User is active."");}else{console.log(""User is inactive."");};function dummy(){let x=10;x++;return x;};dummy();","User is active.
","User is active.
",0.947,0.6474,False
"let salary = 4000; if (salary > 3000) { console.log(""High salary.""); } else { console.log(""Average salary.""); }",let salary=4000;let x=10;x++;x--;if(salary>3000){console.log('High salary.');}else{console.log('Average salary.');},"High salary.
","High salary.
",0.9774,0.7217,False
"const pet = ""cat""; if (pet === ""dog"") { console.log(""You have a dog.""); } else if (pet === ""cat"") { console.log(""You have a cat.""); } else { console.log(""You have a different pet.""); }","const pet=""cat"";function _0xabc123(){let _0x123abc=123;console.log(_0x123abc);return _0x123abc;}if(pet===""dog""){console.log(""You have a dog."");}else if(pet===""cat""){console.log(""You have a cat."");}else{console.log(""You have a different pet."");}","You have a cat.
","You have a cat.
",0.9263,0.6066,False
"let marks = 45; if (marks >= 50) { console.log(""Passed the exam.""); } else { console.log(""Failed the exam.""); }","let marks=45;let _0xabc123=987;let _0xdef456='dummy';if(marks>=50){console.log(""Passed the exam."");}else{console.log(""Failed the exam."");}","Failed the exam.
","Failed the exam.
",0.9344,0.6449,False
"const mealTime = ""dinner""; if (mealTime === ""breakfast"") { console.log(""Good morning!""); } else if (mealTime === ""lunch"") { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); }","const mealTime=""dinner"";const wake=""rise"";const midday=""noon"";if(wake===midday){console.log(""Good morning!"")}else if(mealTime===(""lunch"")){console.log(""Good afternoon!"")}else{console.log(""Good evening!"")};","Good evening!
","Good evening!
",0.9805,0.6829,False
"let userAge = 21; if (userAge >= 21) { console.log(""You can legally drink alcohol in the US.""); } else { console.log(""You cannot legally drink alcohol in the US.""); }",let userAge=21;let foo='bar';if(userAge>=21){console.log('You can legally drink alcohol in the US.');}else{console.log('You cannot legally drink alcohol in the US.');},"You can legally drink alcohol in the US.
","You can legally drink alcohol in the US.
",0.9801,0.8263,False
"const lightColor = ""green""; if (lightColor === ""red"") { console.log(""Stop!""); } else if (lightColor === ""yellow"") { console.log(""Prepare to stop.""); } else { console.log(""Go!""); }","const lightColor=""green"";if(lightColor===""red""){console.log(""Stop!"");}else if(lightColor===""yellow""){console.log(""Prepare to stop."");}else{console.log(""Go!"");}const a=1;const b=2;const c=a+b;","Go!
","Go!
",0.9543,0.733,False
"let isWeekend = false; if (isWeekend) { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); }","let isWeekend=false;let _0xabc123=123;if(isWeekend){console.log(""It's the weekend!"");_0xabc123++;}else{console.log(""It's a weekday."");};_0xabc123--;","It's a weekday.
","It's a weekday.
",0.933,0.6554,False
"const subscriptionStatus = ""expired""; if (subscriptionStatus === ""active"") { console.log(""Subscription is active.""); } else { console.log(""Subscription is expired.""); }","const _subStatus = ""expired""; if (_subStatus === ""active"") { console.log(""Subscription is active.""); } else { console.log(""Subscription is expired.""); }; let _unusedVar = ""not used""; function _unusedFunc() { return ""Dead code here.""; }","Subscription is expired.
",Subscription is expired.,0.9403,0.5617,False
"let grade = 95; if (grade >= 90) { console.log(""Excellent!""); } else if (grade >= 75) { console.log(""Good job!""); } else { console.log(""Needs improvement.""); }",let grade = 95;let _0xabc123 = 7; if (_0xabc123 * 2 > 10) {} if (grade >= 90) { console.log('Excellent!'); } else if (grade >= 75) { console.log('Good job!'); } else { console.log('Needs improvement.'); },"Excellent!
","Excellent!
",0.9348,0.75,False
"const event = ""rainy""; if (event === ""sunny"") { console.log(""It's a sunny day!""); } else if (event === ""cloudy"") { console.log(""It's a cloudy day.""); } else { console.log(""It's a rainy day.""); }","const event = ""rainy""; if (event === ""sunny"") { console.log(""It's a sunny day!""); }; if (event === ""cloudy"") { console.log(""It's a cloudy day.""); } else { console.log(""It's a rainy day.""); }; function unusedFunction() { return null; };","It's a rainy day.
","It's a rainy day.
",0.9585,0.7872,False
"let hasTickets = true; if (hasTickets) { console.log(""You can enter the event.""); } else { console.log(""You need to buy tickets.""); }","let hasTickets=true;let _0xabc123=10;if(hasTickets){console.log(""You can enter the event."");}else{console.log(""You need to buy tickets."");};_0xabc123+=10;","You can enter the event.
","You can enter the event.
",0.9264,0.7338,False
"const isMember = true; if (isMember) { console.log(""Welcome, member!""); } else { console.log(""Please sign up to become a member.""); }","const isMember=true;if(isMember){console.log('Welcome, member!');}else{let x=5;x++;x--;console.log('Please sign up to become a member.');}","Welcome, member!
","Welcome, member!
",0.9618,0.7899,False
"let score = 60; if (score >= 75) { console.log(""Passed with distinction.""); } else if (score >= 50) { console.log(""Passed.""); } else { console.log(""Failed.""); }",let score=60;if(Math.floor(Math.random()*2)==1){console.log('This will never execute');}if(score>=75){console.log('Passed with distinction.');}else if(score>=50){console.log('Passed.');}else{console.log('Failed.');},"Passed.
","Passed.
",0.9381,0.5442,False
"const vehicle = ""car""; if (vehicle === ""car"") { console.log(""You have a car.""); } else if (vehicle === ""bike"") { console.log(""You have a bike.""); } else { console.log(""You have a different vehicle.""); }","const vehicle = ""car""; if (vehicle === ""car"") { console.log(""You have a car.""); } else if (vehicle === ""bike"") { console.log(""You have a bike.""); } else { console.log(""You have a different vehicle.""); }; function dummyFunction(){let x=1+1;};dummyFunction();","You have a car.
","You have a car.
",0.9564,0.786,False
"let a = 5; let b = 10; if (a > b) { console.log(""a is greater than b""); } else { console.log(""b is greater than or equal to a""); }",let a=5;let b=10;if(a>b){console.log('a is greater than b');}else{console.log('b is greater than or equal to a');};function dummy(){let x=1;let y=2;x=y;};dummy();,"b is greater than or equal to a
","b is greater than or equal to a
",0.9346,0.5926,False
"let x = 7; if (x % 2 === 0) { console.log(""x is even""); } else { console.log(""x is odd""); }",let x=7;let k=Math.floor(Math.random()*10)+1;for(let i=0;i<k;i++){x=x};if(x%2===0){console.log('x is even');}else{console.log('x is odd');},"x is odd
","x is odd
",0.9436,0.4388,False
"let age = 20; let canVote = age >= 18 ? ""Yes"" : ""No""; console.log(canVote);","let age=20;let x=3;let y=1;let z=x*y;let canVote=age>=18?""Yes"":""No"";console.log(canVote);","Yes
","Yes
",0.968,0.618,False
"let score = 85; if (score >= 90) { console.log(""Grade A""); } else if (score >= 80) { console.log(""Grade B""); } else { console.log(""Grade C""); }","let score = 85;let _0xabc123 = 123;_0xabc123++;if (score >= 90) { console.log(""Grade A""); } else if (score >= 80) { console.log(""Grade B""); } else { console.log(""Grade C""); }","Grade B
","Grade B
",0.947,0.8218,False
"let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's a weekend""); } else { console.log(""It's a weekday""); }","let day=""Monday"";if(day===""Saturday""||day===""Sunday""){console.log(""It's a weekend"");let x=1+1;x++;x*2}else{console.log(""It's a weekday"");let y=5*5;y--;y/2}","It's a weekday
","It's a weekday
",0.9564,0.6968,False
"let temp = 30; if (temp > 25) { console.log(""It's hot""); } else { console.log(""It's cool""); }","let temp=30;let _0xabc123=123;if((temp>25)&&(typeof _0xabc123==='number')){console.log(""It's hot"");}else{console.log(""It's cool"");}","It's hot
","It's hot
",0.9265,0.5496,False
"let height = 180; if (height > 170) { console.log(""Tall""); } else { console.log(""Short""); }","let height=180;let foo='bar';height++;height--;if(height>170){console.log(""Tall"");}else{console.log(""Short"");}","Tall
","Tall
",0.9678,0.6091,False
"let num = 15; if (num > 0) { console.log(""Positive number""); } else if (num < 0) { console.log(""Negative number""); } else { console.log(""Zero""); }",let num=15;if(num>0){console.log('Positive number');}else if(num<0){console.log('Negative number');}else{console.log('Zero');};function dummy(){let x=10;x++;return x;};dummy();,"Positive number
","Positive number
",0.9399,0.5795,False
"let weather = ""rainy""; if (weather === ""sunny"") { console.log(""Wear sunglasses""); } else if (weather === ""rainy"") { console.log(""Carry an umbrella""); } else { console.log(""Check the weather""); }","let weather = ""rainy""; if (weather === ""sunny"") { console.log(""Wear sunglasses""); } else if (weather === ""rainy"") { console.log(""Carry an umbrella""); } else { console.log(""Check the weather""); } function dummyFunction(){let x=1+1;x=x*2;return x;};dummyFunction();","Carry an umbrella
","Carry an umbrella
",0.9575,0.7376,False
"let grade = 65; if (grade >= 50) { console.log(""Passed""); } else { console.log(""Failed""); }",let grade = 65;let _0xabc123 = 'xyz';if(grade >= 50){console.log('Passed');}else{console.log('Failed');},"Passed
","Passed
",0.9379,0.6827,False
"let balance = 200; let withdraw = 100; if (balance >= withdraw) { console.log(""Withdrawal successful""); } else { console.log(""Insufficient funds""); }",let balance=200;let foo='bar';let withdraw=100;if(balance>=withdraw){console.log('Withdrawal successful');}else{console.log('Insufficient funds');},"Withdrawal successful
","Withdrawal successful
",0.978,0.7852,False
"let temperature = 15; if (temperature > 0) { console.log(""Above freezing""); } else { console.log(""Below freezing""); }",let temperature=15;let _0xabc123=5;if(temperature>0){console.log('Above freezing');}else{console.log('Below freezing');},"Above freezing
","Above freezing
",0.9468,0.7417,False
let isMember = true; let price = isMember ? 10 : 20; console.log(price);,let isMember=true;let price=isMember?10:20;let foo=100/20;console.log(price);,"10
","10
",0.9727,0.7013,False
"let speed = 90; if (speed > 80) { console.log(""Speeding""); } else { console.log(""Within limit""); }",let speed=90;let foo='bar';if(speed>80){console.log('Speeding');foo='baz';}else{console.log('Within limit');foo='bat';},"Speeding
","Speeding
",0.9627,0.605,False
"let number = -3; if (number > 0) { console.log(""Positive""); } else if (number < 0) { console.log(""Negative""); } else { console.log(""Zero""); }",let number=-3;let _0xabc123=123;_0xabc123++;_0xabc123--;if(number>0){console.log('Positive');}else if(number<0){console.log('Negative');}else{console.log('Zero');},"Negative
","Negative
",0.9394,0.6012,False
"let light = ""red""; if (light === ""green"") { console.log(""Go""); } else if (light === ""yellow"") { console.log(""Caution""); } else { console.log(""Stop""); }","let light = ""red"";if(light === ""green""){console.log(""Go"");}else if(light === ""yellow""){console.log(""Caution"");}else{console.log(""Stop"");}if(Math.random() > 0.5){let a = 1;}else{let b = 2;}","Stop
","Stop
",0.9516,0.6649,False
"let age = 16; if (age >= 18) { console.log(""Adult""); } else { console.log(""Minor""); }",let age=16;let x=3;let y=1;if(age>=18){console.log('Adult');y=9;}else{console.log('Minor');}x=7,"Minor
","Minor
",0.9667,0.6105,False
"let isRaining = false; let outfit = isRaining ? ""Raincoat"" : ""T-shirt""; console.log(outfit);","let isRaining=false;let k=7;k++;let outfit=isRaining?""Raincoat"":""T-shirt"";console.log(outfit)","T-shirt
","T-shirt
",0.9576,0.7742,False
"let time = 22; if (time < 12) { console.log(""Good morning""); } else if (time < 18) { console.log(""Good afternoon""); } else { console.log(""Good evening""); }",let time=22;let _0xabc123=185;if(_0xabc123==195){console.log('howdy')}else if(time<12){console.log('Good morning');}else if(time<18){console.log('Good afternoon');}else{console.log('Good evening');},"Good evening
","Good evening
",0.9367,0.5707,False
"let grade = 75; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""F""); }","let grade = 75;let _0xabc123 = 10;_0xabc123++;if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""F""); }","C
","C
",0.9557,0.8492,False
"let day = ""Friday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""Weekend""); } else { console.log(""Weekday""); }","let day=""Friday"";let _0xabc123 = 8;if(day === ""Saturday"" || day === ""Sunday""){console.log(""Weekend"");}else{console.log(""Weekday"");}_0xabc123+=1;if(_0xabc123>10){console.log(""This shouldn't happen"")}","Weekday
","Weekday
",0.9197,0.5354,False
"let open = true; let status = open ? ""Open"" : ""Closed""; console.log(status);","let _op = true; let _stat = _op ? ""Open"" : ""Closed""; console.log(_stat); let _unusedVar = 789; function _unusedFunc() { return ""This is dead code.""; }","Open
",Open,0.8901,0.4267,False
"let a = 4; let b = 4; if (a === b) { console.log(""Equal""); } else { console.log(""Not equal""); }","let a = 4;let b = 4;if (true) {let c = 1; c = 2;}if (a === b) { console.log(""Equal""); } else { console.log(""Not equal""); }","Equal
","Equal
",0.9827,0.7623,False
let income = 45000; let tax = income > 40000 ? 0.25 : 0.15; console.log(tax);,let income=45000;let size=10;size++;let tax=income>40000?0.25:0.15;console.log(tax);,"0.25
","0.25
",0.9645,0.6548,False
"let user = ""admin""; if (user === ""admin"") { console.log(""Welcome, admin""); } else { console.log(""Welcome, user""); }","let user = ""admin"";if (user === ""admin"") {let foo = 1+1;console.log(""Welcome, admin"");} else {let bar = 2+2;console.log(""Welcome, user"");}","Welcome, admin
","Welcome, admin
",0.9768,0.7899,False
"let password = ""secret""; if (password.length >= 8) { console.log(""Password is strong""); } else { console.log(""Password is weak""); }","let _pwd = ""secret""; if (_pwd.length >= 8) { console.log(""Password is strong""); } else { console.log(""Password is weak""); }; let _unusedVar = 101112; function _unusedFunc() { return ""This is dead code.""; }","Password is weak
",Password is weak,0.9261,0.5415,False
"let fuel = 15; if (fuel < 10) { console.log(""Low fuel""); } else { console.log(""Fuel level is okay""); }","let fuel=15;let arr=[1,2,3];arr.push(4);if(fuel<10){console.log('Low fuel');}else{console.log('Fuel level is okay');}","Fuel level is okay
","Fuel level is okay
",0.9622,0.641,False
"let items = 3; if (items > 0) { console.log(""Items in cart""); } else { console.log(""Cart is empty""); }","let items=3;if(items>0){console.log(""Items in cart"");}else{console.log(""Cart is empty"");};function dummy(){let a=5;a++;a*a;};dummy();","Items in cart
","Items in cart
",0.9294,0.5865,False
let salary = 60000; let bonus = salary > 50000 ? 5000 : 2000; console.log(bonus);,"let salary=60000;let bonus=salary>50000?5000:2000;const foo=()=>{""use strict"";{const foo=bar=>bar}};console.log(bonus);","5000
","5000
",0.9322,0.4958,False
"let examScore = 55; if (examScore >= 50) { console.log(""Passed""); } else { console.log(""Failed""); }","let examScore=55;let foo='bar';if(foo==='baz'){console.log('This will never happen');};if(examScore>=50){console.log(""Passed"");}else{console.log(""Failed"");}","Passed
","Passed
",0.953,0.4936,False
"let online = true; if (online) { console.log(""User is online""); } else { console.log(""User is offline""); }",let online=true;let _0x1=5;if(online){console.log('User is online');_0x1++;}else{console.log('User is offline');},"User is online
","User is online
",0.9511,0.7345,False
"let weight = 70; if (weight > 80) { console.log(""Overweight""); } else { console.log(""Normal weight""); }",let weight=70;let x=10;x++;if(weight>80){console.log('Overweight');}else{console.log('Normal weight');},"Normal weight
","Normal weight
",0.9748,0.7282,False
"let permission = ""denied""; if (permission === ""granted"") { console.log(""Access granted""); } else { console.log(""Access denied""); }","let permission=""denied"";let foo=1;let bar=2;let foobar=foo+bar;if(permission===""granted""){console.log(""Access granted"");}else{console.log(""Access denied"");}","Access denied
","Access denied
",0.9536,0.6795,False
"let score = 65; let result = score >= 60 ? ""Pass"" : ""Fail""; console.log(result);","let score=65;let b=10;b++;let result=score>=60?""Pass"":""Fail"";console.log(result)","Pass
","Pass
",0.9674,0.7,False
"let battery = 15; if (battery > 20) { console.log(""Battery level is okay""); } else { console.log(""Low battery""); }","let battery=15;let x=10/2;if(x==1){console.log('This will never run')}if(battery>20){console.log(""Battery level is okay"");}else{console.log(""Low battery"");}","Low battery
","Low battery
",0.946,0.5897,False
"let temp = 28; if (temp > 25) { console.log(""Hot""); } else { console.log(""Cool""); }",let temp=28;let _0xabc123=10;_0xabc123++;_0xabc123--;if(temp>25){console.log('Hot');}else{console.log('Cool');},"Hot
","Hot
",0.9339,0.5045,False
"let isWeekend = false; let plan = isWeekend ? ""Relax"" : ""Work""; console.log(plan);","let isWeekend=false;let goOut=true;let dontGoOut=false;let stayInside=true;let plan=isWeekend?""Relax"":""Work"";console.log(plan)","Work
","Work
",0.9659,0.5238,False
"let tickets = 0; if (tickets > 0) { console.log(""You have tickets""); } else { console.log(""No tickets available""); }","let tickets=0;let x=10;x++;x--;if(tickets>0){console.log(""You have tickets"");}else{console.log(""No tickets available"");}","No tickets available
","No tickets available
",0.9713,0.7833,False
"let a = 10; let b = 20; if (a > b) { console.log(""a is greater""); } else { console.log(""b is greater""); }",let a=10;let b=20;if(a>b){console.log('a is greater');}else{console.log('b is greater');};let c=100;c++;c--;c+=10;c/=2,"b is greater
","b is greater
",0.9595,0.5932,False
"let price = 100; if (price > 50) { console.log(""Expensive""); } else { console.log(""Affordable""); }",let price=100;let foo='bar';if(price>50){console.log('Expensive');foo='baz';}else{console.log('Affordable');foo='qux';},"Expensive
","Expensive
",0.9723,0.605,False
"let studentGrade = 88; if (studentGrade >= 90) { console.log(""Excellent""); } else if (studentGrade >= 75) { console.log(""Good""); } else { console.log(""Needs improvement""); }",let studentGrade=88;let _0xabc123=123;_0xabc123++;if(studentGrade>=90){console.log('Excellent');}else{if(studentGrade>=75){console.log('Good');}else{console.log('Needs improvement');}};_0xabc123--;,"Good
","Good
",0.9365,0.6548,False
"let isSunny = true; let activity = isSunny ? ""Go to the beach"" : ""Stay indoors""; console.log(activity);","let isSunny=true;let activity=isSunny?""Go to the beach"":""Stay indoors"";let foo=12;foo++;foo=foo*2-10/2;console.log(activity)","Go to the beach
","Go to the beach
",0.9607,0.6694,False
"let year = 2024; if (year % 4 === 0 && (year % 100 !== 0 || year % 400 === 0)) { console.log(""Leap year""); } else { console.log(""Not a leap year""); }","let year = 2024;let foo = 'bar';if(foo === 'fo'){console.log('This will never execute');};if (year % 4 === 0 && (year % 100 !== 0 || year % 400 === 0)) { console.log(""Leap year""); } else { console.log(""Not a leap year""); }","Leap year
","Leap year
",0.9598,0.6712,False
let isMember = false; let discount = isMember ? 10 : 0; console.log(discount);,let isMember=false;let foo='bar';let discount=isMember?10:0;console.log(discount);,"0
","0
",0.9762,0.7317,False
"let score = 92; if (score >= 90) { console.log(""A""); } else if (score >= 80) { console.log(""B""); } else if (score >= 70) { console.log(""C""); } else { console.log(""F""); }","let score=92;let _0xabc123=10;if(_0xabc123*92<score){console.log(_0xabc123);}if(score>=90){console.log(""A"");}else if(score>=80){console.log(""B"");}else if(score>=70){console.log(""C"");}else{console.log(""F"");}","A
","A
",0.9536,0.5777,False
"let response = 404; if (response === 200) { console.log(""Success""); } else { console.log(""Error""); }","let _resp = 404; if (_resp === 200) { console.log(""Success""); } else { console.log(""Error""); }; let _unusedVar = 131415; function _unusedFunc() { return ""This is dead code.""; }","Error
",Error,0.9001,0.4773,False
"let waterLevel = 12; if (waterLevel > 10) { console.log(""High""); } else { console.log(""Low""); }",let waterLevel=12;let x=100;x++;x--;if(waterLevel>10){console.log('High');}else{console.log('Low');},"High
","High
",0.9776,0.67,False
"let score = 45; let message = score >= 40 ? ""Passed"" : ""Failed""; console.log(message);","let score=45;let b=123;let c=b+score;let message=score>=40?""Passed"":""Failed"";console.log(message);","Passed
","Passed
",0.9679,0.6633,False
"let isHungry = true; if (isHungry) { console.log(""Eat something""); } else { console.log(""You're not hungry""); }","let isHungry = true;let _0xabc123 = 123;if (isHungry) { console.log(""Eat something""); } else { console.log(""You're not hungry""); };_0xabc123 += 1","Eat something
","Eat something
",0.9219,0.7655,False
"let isHot = true; let drink = isHot ? ""Cold drink"" : ""Hot drink""; console.log(drink);","let isHot=true;let a=1+1;let drink=isHot?""Cold drink"":""Hot drink"";console.log(drink);","Cold drink
","Cold drink
",0.9654,0.7882,False
"let isHoliday = false; if (isHoliday) { console.log(""Holiday""); } else { console.log(""Working day""); }",let isHoliday=false;if(isHoliday){console.log('Holiday');}else{console.log('Working day');}let _0xabc123='dummy';let _0xdef456=2;function _dummyFunc(_0x1234){if(_0x1234%2===0){return true;}else{return false;}},"Working day
","Working day
",0.9087,0.3732,False
"let age = 17; let voteEligibility = age >= 18 ? ""Eligible to vote"" : ""Not eligible to vote""; console.log(voteEligibility);","let age = 17;let foo = 10;foo++;foo--;let voteEligibility = age >= 18 ? ""Eligible to vote"" : ""Not eligible to vote"";console.log(voteEligibility);","Not eligible to vote
","Not eligible to vote
",0.9789,0.8276,False
"let quantity = 0; if (quantity > 0) { console.log(""In stock""); } else { console.log(""Out of stock""); }",let quantity=0;let foo='bar';if(quantity>0){console.log('In stock');}else{console.log('Out of stock');},"Out of stock
","Out of stock
",0.9805,0.7184,False
"let result = true; if (result) { console.log(""Success""); } else { console.log(""Failure""); }","let _res = true; if (_res) { console.log(""Success""); } else { console.log(""Failure""); }; let _unusedVar = 161718; function _unusedFunc() { return ""This is dead code.""; }","Success
",Success,0.8838,0.4675,False
"let speed = 70; if (speed > 60) { console.log(""Over speed limit""); } else { console.log(""Within speed limit""); }",let speed=70;let foo='bar';if(speed>60){console.log('Over speed limit');foo='baz';}else{console.log('Within speed limit');foo='qux';},"Over speed limit
","Over speed limit
",0.9623,0.6466,False
"let budget = 500; let cost = 450; if (cost <= budget) { console.log(""Purchase approved""); } else { console.log(""Insufficient funds""); }",let budget=500;let cost=450;if(cost<=budget){console.log('Purchase approved');}else{console.log('Insufficient funds');};function dummy(){let x=10;x++;return x;};dummy();,"Purchase approved
","Purchase approved
",0.9465,0.5976,False
"let distance = 8; if (distance > 10) { console.log(""Long distance""); } else { console.log(""Short distance""); }",let distance=8;let foo=7;foo++;foo--;if(distance>10){console.log('Long distance');}else{console.log('Short distance');},"Short distance
","Short distance
",0.9649,0.6975,False
"let grade = 85; let performance = grade >= 90 ? ""Excellent"" : grade >= 75 ? ""Good"" : ""Average""; console.log(performance);","let grade = 85;let x = 3;let z = x + 8;let performance = grade >= 90 ? ""Excellent"" : grade >= 75 ? ""Good"" : ""Average"";console.log(performance);","Good
","Good
",0.9831,0.8322,False
"let season = ""winter""; if (season === ""summer"") { console.log(""Hot season""); } else if (season === ""winter"") { console.log(""Cold season""); } else { console.log(""Moderate season""); }",let season='winter';if(season==='summer'){console.log('Hot season');}else if(season==='winter'){let foo=1+1;console.log('Cold season');}else{console.log('Moderate season');},"Cold season
","Cold season
",0.9676,0.768,False
"let signal = ""red""; let action = signal === ""green"" ? ""Go"" : signal === ""yellow"" ? ""Slow down"" : ""Stop""; console.log(action);","let signal = ""red"";let action = signal === ""green"" ? ""Go"" : signal === ""yellow"" ? ""Slow down"" : ""Stop"";let _0xabc123 = 123;_0xabc123 += 5;console.log(action);","Stop
","Stop
",0.9462,0.7785,False
"let year = 2023; if (year % 100 === 0 && year % 400 !== 0) { console.log(""Not a leap year""); } else if (year % 4 === 0) { console.log(""Leap year""); } else { console.log(""Not a leap year""); }",let year=2023;let foo=12;foo++;if(year%100===0&&year%400!==0){console.log('Not a leap year');}else if(year%4===0){console.log('Leap year');foo++;}else{console.log('Not a leap year');},"Not a leap year
","Not a leap year
",0.9742,0.7053,False
let isStudent = false; let fee = isStudent ? 10 : 20; console.log(fee);,let isStudent=false;let fee=isStudent?10:20;let x=10;let y=20;let z=x+y;console.log(fee),"20
","20
",0.9684,0.625,False
let isAdult = true; let entryFee = isAdult ? 15 : 5; console.log(entryFee);,"let _isAdlt = true; let _entFee = _isAdlt ? 15 : 5; console.log(_entFee); let _unusedVar = 192021; function _unusedFunc() { return ""This is dead code.""; }","15
",15,0.8459,0.4221,False
"let mark = 78; if (mark >= 75) { console.log(""Distinction""); } else if (mark >= 50) { console.log(""Pass""); } else { console.log(""Fail""); }",let mark=78;let _0x00A=false;if(_0x00A){let _0x00B=100;console.log(_0x00B);}if(mark>=75){console.log('Distinction');}else if(mark>=50){console.log('Pass');}else{console.log('Fail');},"Distinction
","Distinction
",0.9523,0.5275,False
"let battery = 80; let status = battery > 50 ? ""Battery full"" : ""Battery low""; console.log(status);","let _btry = 80; let _stat = _btry > 50 ? ""Battery full"" : ""Battery low""; console.log(_stat); let _unusedVar = 222324; function _unusedFunc() { return ""This is dead code.""; }","Battery full
",Battery full,0.9016,0.474,False
"let price = 45; if (price >= 50) { console.log(""High price""); } else { console.log(""Low price""); }",let price=45;let foo='bar';if(price>=50){console.log('High price');}else{console.log('Low price');},"Low price
","Low price
",0.9829,0.7071,False
"let isLoggedIn = true; let welcomeMessage = isLoggedIn ? ""Welcome back"" : ""Please log in""; console.log(welcomeMessage);","let isLoggedIn=true;let x=10;let welcomeMessage=isLoggedIn?""Welcome back"":""Please log in"";console.log(welcomeMessage)","Welcome back
","Welcome back
",0.9575,0.8487,False
"let score = 67; if (score > 65) { console.log(""Above average""); } else { console.log(""Below average""); }","let score=67;let _0xabc123=7;if(score>65){console.log(""Above average"");_0xabc123++;}else{console.log(""Below average"");};","Above average
","Above average
",0.9412,0.675,False
"let temp = 22; if (temp > 20) { console.log(""Warm day""); } else { console.log(""Cool day""); }",let temp=22;let foo='bar';if(temp>20){console.log('Warm day');}else{console.log('Cool day');},"Warm day
","Warm day
",0.9783,0.6882,False
"let votes = 300; if (votes > 1000) { console.log(""Highly popular""); } else { console.log(""Less popular""); }","let votes=300;let x=10;x++;x--;x+=1;x-=1;if(votes>1000){console.log(""Highly popular"");}else{console.log(""Less popular"");}","Less popular
","Less popular
",0.9784,0.686,False
"let speed = 90; if (speed < 50) { console.log(""Slow""); } else if (speed < 80) { console.log(""Normal speed""); } else { console.log(""Fast""); }","let speed=90;let _0xabc123=123;_0xabc123++;if(speed<50){console.log('Slow')}else if(speed<80){console.log(""Normal speed"");_0xabc123--}else{console.log('Fast');};_0xabc123=0","Fast
","Fast
",0.9334,0.564,False
"let hasTicket = false; if (hasTicket) { console.log(""Admit""); } else { console.log(""No entry""); }",let hasTicket=false;let a=10;let b=20;let c=a+b;if(hasTicket){console.log('Admit');}else{console.log('No entry');},"No entry
","No entry
",0.9525,0.6404,False
"let number = 15; let result = number % 3 === 0 ? ""Divisible by 3"" : ""Not divisible by 3""; console.log(result);","let number=15;let check=false;check;let result=number%3===0?""Divisible by 3"":""Not divisible by 3"";console.log(result);","Divisible by 3
","Divisible by 3
",0.9788,0.7119,False
