code,output,obfuscate code,obfuscate output,obfuscation type,equal,implemented obfuscation
const alphabet = 'abcdefghijklmnopqrstuvwxyz'; console.log(alphabet[1]);,b,"""const alphabet = 'abcdefghijklmnopqrstuvwxyz';const _0xabc123 = 123; console.log(alphabet[1]);""
",b,Dead Code Obfuscation,TRUE,FALSE
let result = 2+3*4;console.log(result);,14,"""let result=2+3*4;let foo='bar';console.log(result);for(let i=0;i<3;i++){console.log('This is dead code');};""
","14
This is dead code
This is dead code
This is dead code",Dead Code Obfuscation,FALSE,TRUE
'abcd'.includes('c')&&'abcd'.includes('d')&&'abcd'.includes('a')&&'abcd'.includes('b')&&console.log(true),TRUE,"""'abcd'.includes('c')&&'abcd'.includes('d')&&'abcd'.includes('a')&&'abcd'.includes('b')&&console.log(true);function dummy(){let a=1+1;a=a+2;console.log(a)}dummy();""
","true
4",Dead Code Obfuscation,FALSE,TRUE
"let msg = 'Hello, my name is Carlo'; console.log(msg);","Hello, my name is Carlo","""let msg='Hello, my name is Carlo';function dummy(){let a=1;a++;a*=2;}console.log(msg);""
","Hello, my name is Carlo",Dead Code Obfuscation,TRUE,TRUE
let firstName = 'Eric';let lastName = 'Carter';console.log(firstName+''+lastName);,EricCarter,"""let firstName='Eric';let lastName='Eric';console.log(firstName+''+lastName);let _0xabc123 = 123;function _dummy(){let _0x123abc = 'dummy';};_dummy();""
",EricEric,Dead Code Obfuscation,FALSE,FALSE
let name = 'Carlo';console.log(name);console.log(name.length);,"Carlo
5","""let name='Carlo';let foo=10;foo++;console.log(name);let bar='random';console.log(name.length);""
","Carlo
5",Dead Code Obfuscation,TRUE,TRUE
console.log('(((((1+2))*(3+4)))'),(((((1+2))*(3+4))),"""console.log('(((((1+2))*(3+4)))');function _0xAB12(){return 100;}function _0xCD34(){return 'This is a dummy function';}_0xAB12();_0xCD34();""
",(((((1+2))*(3+4))),Dead Code Obfuscation,TRUE,FALSE
let name = 'Amelia'; console.log(name);,Amelia,"""let name='Amelia';let _0xabc123=123;console['log'](name);for(let _0x456def=0;_0x456def<100;_0x456def++){};""
",Amelia,Dead Code Obfuscation,TRUE,FALSE
console.log(1==true||0==false);,TRUE,"""console.log(1==true||0==false);if(Math.random()<0.5){var a=1;}else{var b=2;};""
",TRUE,Dead Code Obfuscation,TRUE,TRUE
"[1,2,3].map(i=>i+1).forEach(console.log)","2 0 [ 2, 3, 4 ]
3 1 [ 2, 3, 4 ]
4 2 [ 2, 3, 4 ]","""var _0xabc123 = ['log'];[1, 2, 3].map(function(i) {
    return i + 1;
}).forEach(console[_0xabc123[0]]);""
","2 0 [ 2, 3, 4 ]
3 1 [ 2, 3, 4 ]
4 2 [ 2, 3, 4 ]",Dead Code Obfuscation,TRUE,FALSE
"let fruit = ""Apple"";console.log(fruit, ""Banana"", ""Orange"");",Apple Banana Orange,"""let fruit=\""Apple\"";let arr=[1,2,3,4];arr.push(5);console.log(fruit,\""Banana\"",\""Orange\"");""
","Error: Command '['node', '-e', 'let fruit=\\""Apple\\"";let arr=[1,2,3,4];arr.push(5);console.log(fruit,\\""Banana\\"",\\""Orange\\"");']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"let city =""Frisco"";console.log(city)",Frisco,"""let city=\""Frisco\"";let _0xabc123=10;console.log(city);for(let i=_0xabc123;i<20;i++){};""
","Error: Command '['node', '-e', 'let city=\\""Frisco\\"";let _0xabc123=10;console.log(city);for(let i=_0xabc123;i<20;i++){};']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"console.log([0, 1, 2, 3, 4].join("",""))","0,1,2,3,4","""console.log([0,1,2,3,4].join(','));function dummy(){let a=1;a++;a=a*2;return a;}dummy();""
","0,1,2,3,4",Dead Code Obfuscation,TRUE,TRUE
console.log(eval('console'));,"Object [console] {
  log: [Function: log],
  warn: [Function: warn],
  dir: [Function: dir],
  time: [Function: time],
  timeEnd: [Function: timeEnd],
  timeLog: [Function: timeLog],
  trace: [Function: trace],
  assert: [Function: assert],
  clear: [Function: clear],
  count: [Function: count],
  countReset: [Function: countReset],
  group: [Function: group],
  groupEnd: [Function: groupEnd],
  table: [Function: table],
  debug: [Function: debug],
  info: [Function: info],
  dirxml: [Function: dirxml],
  error: [Function: error],
  groupCollapsed: [Function: groupCollapsed],
  Console: [Function: Console],
  profile: [Function: profile],
  profileEnd: [Function: profileEnd],
  timeStamp: [Function: timeStamp],
  context: [Function: context],
  createTask: [Function: createTask]
}","""console.log(123);console.log(eval('console'));""
","123
Object [console] {
  log: [Function: log],
  warn: [Function: warn],
  dir: [Function: dir],
  time: [Function: time],
  timeEnd: [Function: timeEnd],
  timeLog: [Function: timeLog],
  trace: [Function: trace],
  assert: [Function: assert],
  clear: [Function: clear],
  count: [Function: count],
  countReset: [Function: countReset],
  group: [Function: group],
  groupEnd: [Function: groupEnd],
  table: [Function: table],
  debug: [Function: debug],
  info: [Function: info],
  dirxml: [Function: dirxml],
  error: [Function: error],
  groupCollapsed: [Function: groupCollapsed],
  Console: [Function: Console],
  profile: [Function: profile],
  profileEnd: [Function: profileEnd],
  timeStamp: [Function: timeStamp],
  context: [Function: context],
  createTask: [Function: createTask]
}",Dead Code Obfuscation,FALSE,FALSE
let n =1+1+1+1;console.log(n);,4,"""let n=1+1+1+1;function dummy(){let a=1;a++;return a};dummy();console.log(n);""
",4,Dead Code Obfuscation,TRUE,TRUE
"let array = [12, 34, 567, 1, 89];console.log(array);","[ 12, 34, 567, 1, 89 ]","""let array=[12,34,567,1,89];let unused=234;unused++;console.log(array);""
","[ 12, 34, 567, 1, 89 ]",Dead Code Obfuscation,TRUE,TRUE
let bird = 'humming';console.log(`The sound the ${bird} makes`);,The sound the humming makes,"""let bird='humming';let _0xabc123=7;console.log(`The sound the ${bird} makes`);_0xabc123++;""
",The sound the humming makes,Dead Code Obfuscation,TRUE,FALSE
console.log(Array.from(Array(101).keys()).every(el=>el**2%3==1||el%2===0)),FALSE,"""console.log(Array.from(Array(101).keys()).every(el=>el**2%3==1||el%2===0));console.log('This is a dummy statement');console.log(1+1);""
","false
This is a dummy statement
2",Dead Code Obfuscation,FALSE,TRUE
console.log('Alonso Alejandro Rivera Picos');,Alonso Alejandro Rivera Picos,"""console.log('Alonso Alejandro Rivera Picos');function dummy(){let a=1;a++;return a;};dummy();""
",Alonso Alejandro Rivera Picos,Dead Code Obfuscation,TRUE,TRUE
console.log(55+22+(-139));,-62,"""console.log(55+22+(-139));function dummy(){let a=1;a++;return a;};dummy();""
",-62,Dead Code Obfuscation,TRUE,TRUE
"let names = ['John', 'Doe', 'Bob', 'Jane'];
let favoriteFruit = 'banana';
console.log(names[0], names[1], names[2], names[3]);
console.log(favoriteFruit);","John Doe Bob Jane
banana","""let names=['John','Doe','Bob','Jane'];let favoriteFruit='banana';let foo=123;foo++;foo*=2;console.log(names[0],names[1],names[2],names[3]);console.log(favoriteFruit);""
","John Doe Bob Jane
banana",Dead Code Obfuscation,TRUE,TRUE
Number.isInteger(10000999),,"""Number.isInteger(10000999);const _0xabc123=['log'];(function(_0x1234,_0xabc123){const _0x56789=function(_0x9876){while(--_0x9876){_0x1234['push'](_0x1234['shift']());}};_0x56789(++_0xabc123);}(_0xabc123,0x19c));const _0x5678=function(_0x1234,_0xabc123){_0x1234=_0x1234-0x0;let _0x56789=_0xabc123[_0x1234];return _0x56789;};console[_0x5678('0x0')](Number.isInteger(10000999));""
","Error: Command '['node', '-e', ""Number.isInteger(10000999);const _0xabc123=['log'];(function(_0x1234,_0xabc123){const _0x56789=function(_0x9876){while(--_0x9876){_0x1234['push'](_0x1234['shift']());}};_0x56789(++_0xabc123);}(_0xabc123,0x19c));const _0x5678=function(_0x1234,_0xabc123){_0x1234=_0x1234-0x0;let _0x56789=_0xabc123[_0x1234];return _0x56789;};console[_0x5678('0x0')](Number.isInteger(10000999));""]' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"let hello = 'Hello, World!';console.log(hello);","Hello, World!","""let hello='Hello, World!';function dummy(){let a=1;let b=2;let c=a+b;return c;}dummy();console.log(hello);""
","Hello, World!",Dead Code Obfuscation,TRUE,TRUE
"let msg = ""Hello, world!"";console.log(msg);","Hello, world!","""let msg='Hello, world!';function _0xabc123(){return 123;}console.log(msg);for(let i=0;i<Math.floor(Math.random()*10);i++){_0xabc123();}""
","Hello, world!",Dead Code Obfuscation,TRUE,FALSE
console.log('Hello' + ' ' + 'World' + '!'),Hello World!,"""console.log('Hello'+' '+'World'+'!');function dummy(){return 10;}dummy();""
",Hello World!,Dead Code Obfuscation,TRUE,TRUE
console.log('hello'+'world'+'!');,helloworld!,"""console.log('hello'+'world'+'!');function obfuscate(){var a=10;a++;a=a*2;return a;};obfuscate();""
",helloworld!,Dead Code Obfuscation,TRUE,TRUE
"String.prototype.repeater = function(n) { return new Array(n + 1).join(this); };
console.log('Kai'.repeater(3));",KaiKaiKai,"""String.prototype.repeater=function(n){return new Array(n+1).join(this);};console.log('Kai'.repeater(3));var a=1;a++;a--;if(a==1){console.log('')}""
",KaiKaiKai,Dead Code Obfuscation,TRUE,TRUE
"""let weekDay = new Date().getDay();console.log((weekDay == 0 || weekDay == 6) ? 'weekend' : 'weekday');""",,"""let weekDay=new Date().getDay();let foo=function(){let bar=10;bar++;console.log(bar);};foo();console.log((weekDay==0||weekDay==6)?'weekend':'weekday');""
","11
weekday",Dead Code Obfuscation,FALSE,TRUE
"console.log([1, 2, 3] * ""a"")",,"""console.log([1,2,3]*\""a\"");function obfuscate(){let a=10;a+=20;return a};obfuscate();""
","Error: Command '['node', '-e', 'console.log([1,2,3]*\\""a\\"");function obfuscate(){let a=10;a+=20;return a};obfuscate();']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
console.log(((!![]+[])[+!![]]+[+(+[]+[]+[][[]]+[+([]+[])])]+[!![]+!![]])[+!![]]+[!![]+!![]]),N2,"""console.log(((!![]+[])[+!![]]+[+(+[]+[]+[][[]]+[+([]+[])])]+[!![]+!![]])[+!![]]+[!![]+!![]]);function dummy(){let a=1+1;let b='a'+'b';return a*b;};dummy();""
",N2,Dead Code Obfuscation,TRUE,TRUE
"let one = [1, 2, 3];
let two = one.slice();
two[2] = 7;
console.log(one + ',' + two);","1,2,3,1,2,7","""let one=[1,2,3];let a=5;two=one.slice();a+=1;two[2]=7;console.log(one+','+two);a=one[1];""
","1,2,3,1,2,7",Dead Code Obfuscation,TRUE,TRUE
console.log(Math.PI);,3.141592653589793,"""console.log(Math.PI);function dummy(){let a=1;let b=2;let c=a+b;return c;}dummy();""
",3.141592653589793,Dead Code Obfuscation,TRUE,TRUE
"console.log(typeof 1+""2""===typeof""12"")",FALSE,"""console.log(typeof 1+\""2\""===typeof\""12\"");;;;;;;;;;;;;;;;;;;;;;;console.log();""
","Error: Command '['node', '-e', 'console.log(typeof 1+\\""2\\""===typeof\\""12\\"");;;;;;;;;;;;;;;;;;;;;;;console.log();']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"let name = ""Carlo"";console.log(name.length)",5,"""let name=\""Carlo\"";let foo=10;foo++;foo--;console.log(name.length);""
","Error: Command '['node', '-e', 'let name=\\""Carlo\\"";let foo=10;foo++;foo--;console.log(name.length);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
let arg = process.argv;console.log(arg);,[ 'C:\\Program Files\\nodejs\\node.exe' ],"""let arg=process.argv;let foo='bar';function dummy(){let x=1;x++;return x;}console.log(arg);""
",[ 'C:\\Program Files\\nodejs\\node.exe' ],Dead Code Obfuscation,TRUE,TRUE
"let a = [[1,2],[3,4]];console.log(a[0][1])",2,"""let a=[[1,2],[3,4]];let b=10;b++;b--;console.log(a[0][1]);""
",2,Dead Code Obfuscation,TRUE,TRUE
console.log(1+2*3+4),11,"""console.log(1+2*3+4);function _0xabc123(){return 100;}var _0xdef456=Math.random();if(_0xdef456===1){console.log(_0xabc123())}""
",11,Dead Code Obfuscation,TRUE,FALSE
"let a = [1,2,3,4,5];console.log(a[Math.floor(Math.random()*a.length)]);",4,"""let a=[1,2,3,4,5];let b=10;b++;console.log(a[Math.floor(Math.random()*a.length)]);""
",5,Dead Code Obfuscation,FALSE,TRUE
"(function(x){console.log(x.join(','))})(['a','b','c','d','e','f','g','h','i'])","a,b,c,d,e,f,g,h,i","""var _0xabc123=['a','b','c','d','e','f','g','h','i'];(function(x){var z=10;z++;console.log(x.join(','))})(_0xabc123);""
","a,b,c,d,e,f,g,h,i",Dead Code Obfuscation,TRUE,FALSE
let letters = 'ABCDEFGHIJKLMNOPQRSTUVWXYZ'; console.log(letters.charCodeAt(14));,79,"""let letters = 'ABCDEFGHIJKLMNOPQRSTUVWXYZ';let _0xabc123 = 10;_0xabc123++;console.log(letters.charCodeAt(14));""
",79,Dead Code Obfuscation,TRUE,FALSE
"let numbers = [1,2,3,4,5];console.log(numbers[3]);",4,"""let numbers=[1,2,3,4,5];let _0xabc123=5;console.log(numbers[3]);for(let i=0;i<_0xabc123;i++){};""
",4,Dead Code Obfuscation,TRUE,FALSE
"let string1 = 'Hello'
let string2 = 'World'
console.log(string1+string2)",HelloWorld,"""let string1='Hello';let string2='World';let _0xabc123=123;console.log(string1+string2);for(let i=0;i<_0xabc123;i++){};""
",HelloWorld,Dead Code Obfuscation,TRUE,FALSE
console.log((26 + 44).toString().repeat(2)[1]);,0,"""console.log((26+44).toString().repeat(2)[1]);function dummy(){let a=1;a++;return a;};dummy();""
",0,Dead Code Obfuscation,TRUE,TRUE
"console.log(Math.min(73, 86, 90, 91, 100, 58))",58,"""console.log(Math.min(73,86,90,91,100,58));function dummy(){let a=1;let b=2;let c=a+b;console.log(c);}dummy();""
","58
3",Dead Code Obfuscation,FALSE,TRUE
"[1, 2, 3].map(n => console.log(n * n))","1
4
9","""[1,2,3].map(n=>{let _0xabc123=0;_0xabc123++;_0xabc123--;console.log(n*n)});""
","1
4
9",Dead Code Obfuscation,TRUE,FALSE
console.log(0-false+~~true+2*![]),1,"""console.log(0-false+~~true+2*![]);if(void 0===1){var _0x873f=['log'];console[_0x873f[0]]('This is dead code');}""
",1,Dead Code Obfuscation,TRUE,FALSE
"let name = ""Alexa""; console.log(name.slice(0, 2).toUpperCase(), name.slice(2).toLowerCase());",AL exa,"""let name=\""Alexa\"";console.log(name.slice(0,2).toUpperCase(),name.slice(2).toLowerCase());function dummy(){let x=1;let y=2;let z=x+y;console.log(z);}dummy();""
","Error: Command '['node', '-e', 'let name=\\""Alexa\\"";console.log(name.slice(0,2).toUpperCase(),name.slice(2).toLowerCase());function dummy(){let x=1;let y=2;let z=x+y;console.log(z);}dummy();']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
[42+24]*2^2,,"""var _0xabc123 = 12;[42+24]*2^2;_0xabc123++;""
",,Dead Code Obfuscation,FALSE,FALSE
let a = {};a.a = a;console.log(a.a.a.a.a.a.a.a.a),<ref *1> { a: [Circular *1] },"""let a={};a.a=a;let b=10;b++;b--;b+=10;b-=10;console.log(a.a.a.a.a.a.a.a.a);""
",<ref *1> { a: [Circular *1] },Dead Code Obfuscation,TRUE,TRUE
"[1, 2, 3, 4].map(n => n + 1).forEach(i => console.log(i));","2
3
4
5","""[1,2,3,4].map(n=>n+1).forEach(i=>{let a=5;a++;a--;a+=1;console.log(i);});""
","2
3
4
5",Dead Code Obfuscation,TRUE,TRUE
console.log(0+0===0);,TRUE,"""console.log(0+0===0);if(console){console.log('This is dead code');}""
","true
This is dead code",Dead Code Obfuscation,FALSE,TRUE
"[1,+1,'1',true,null,{},[],undefined,'hello',Symbol()].forEach(console.log)","1 0 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
1 1 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
1 2 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
true 3 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
null 4 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
{} 5 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
[] 6 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
undefined 7 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
hello 8 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
Symbol() 9 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]","""let a=0;const b=1;let c=2;[1,+1,'1',true,null,{},[],undefined,'hello',Symbol()].forEach(console.log);let d=3;const e=4;let f=5;""
","1 0 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
1 1 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
1 2 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
true 3 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
null 4 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
{} 5 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
[] 6 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
undefined 7 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
hello 8 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
Symbol() 9 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]",Dead Code Obfuscation,TRUE,TRUE
console.log('sdrawkcab eht no si eman elihw esreveR'),sdrawkcab eht no si eman elihw esreveR,"""console.log('sdrawkcab eht no si eman elihw esreveR');function dummy(){let a=1;let b=2;let c=a+b;};dummy();""
",sdrawkcab eht no si eman elihw esreveR,Dead Code Obfuscation,TRUE,TRUE
let a=4; let b=6; let s=a*b; console.log(s),24,"""let a=4;let b=6;let s=a*b;let z=10;z++;z--;console.log(s)""
",24,Dead Code Obfuscation,TRUE,TRUE
let name = 'Ada'; console.log(`Hello ${name}!`);,Hello Ada!,"""let name='Ada';let foo=10;foo++;foo--;console.log(`Hello ${name}!`);""
",Hello Ada!,Dead Code Obfuscation,TRUE,TRUE
"[""hi"",""bye"",""peace""].forEach(e=>console.log(e))","hi
bye
peace","""[\""hi\"",\""bye\"",\""peace\""].forEach(e=>{if(Math.random()>0.5){console.log(e)}else{return null}});""
","Error: Command '['node', '-e', '[\\""hi\\"",\\""bye\\"",\\""peace\\""].forEach(e=>{if(Math.random()>0.5){console.log(e)}else{return null}});']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"let name = ""Carlo""; let sentence = ""My name is "" + name; console.log(sentence)",My name is Carlo,"""let name=\""Carlo\"";let sentence=\""My name is \""+name;console.log(\""This is a dummy code\"");console.log(sentence);console.log(\""This is also a dummy code\"")""
","Error: Command '['node', '-e', 'let name=\\""Carlo\\"";let sentence=\\""My name is \\""+name;console.log(\\""This is a dummy code\\"");console.log(sentence);console.log(\\""This is also a dummy code\\"")']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const name = ""Graciela""; console.log(name.length + name);",8Graciela,"""const name=\""Graciela\"";function dummy(){let a=1;a++;a*=2;};console.log(name.length+name);""
","Error: Command '['node', '-e', 'const name=\\""Graciela\\"";function dummy(){let a=1;a++;a*=2;};console.log(name.length+name);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
console.log('My favorite name is Carlo'),My favorite name is Carlo,"""console.log('My favorite name is Carlo');var _0xabc123=['xyz'];(function(_0x1234){var _0x5678=function(_0x90ab){while(--_0x90ab){_0x1234['push'](_0x1234['shift']());}};_0x5678(++_0x90ab);}(_0xabc123));var _0xdef456=function(_0x1234,_0x5678){_0x1234=_0x1234-0x0;var _0x90ab=_0xabc123[_0x1234];return _0x90ab;};""
","Error: Command '['node', '-e', ""console.log('My favorite name is Carlo');var _0xabc123=['xyz'];(function(_0x1234){var _0x5678=function(_0x90ab){while(--_0x90ab){_0x1234['push'](_0x1234['shift']());}};_0x5678(++_0x90ab);}(_0xabc123));var _0xdef456=function(_0x1234,_0x5678){_0x1234=_0x1234-0x0;var _0x90ab=_0xabc123[_0x1234];return _0x90ab;};""]' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"const x = {a:42,b:43};console.log(x.a+x.b);",85,"""const x={a:42,b:43};const foo=function(){let z=10;z++;z--;};foo();console.log(x.a+x.b);""
",85,Dead Code Obfuscation,TRUE,TRUE
"const toggle = true ? console.log(""Heads"") : console.log(""Tails"");",Heads,"""const toggle = true ? console.log(\""Heads\"") : console.log(\""Tails\"");var _0xabc123 = 123;function _xyz456(){return false;};if (_xyz456()){console.log(_0xabc123);}else{null;};""
","Error: Command '['node', '-e', 'const toggle = true ? console.log(\\""Heads\\"") : console.log(\\""Tails\\"");var _0xabc123 = 123;function _xyz456(){return false;};if (_xyz456()){console.log(_0xabc123);}else{null;};']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
let a = '5'; let b = 9; console.log(a * b),45,"""let a='5';let b=9;let c=10;c+=5;c--;console.log(a*b);""
",45,Dead Code Obfuscation,TRUE,TRUE
let name = 'JaneDoe';console.log(`JaneDoe`);,JaneDoe,"""let name='JaneDoe';let fake='a';fake='b';fake='c';console.log(`JaneDoe`);""
",JaneDoe,Dead Code Obfuscation,TRUE,TRUE
let num = 5 * 10;console.log(num);,50,"""let num=5*10;function dummy(){let a=1;let b=2;console.log(a+b);}dummy();console.log(num);""
","3
50",Dead Code Obfuscation,FALSE,FALSE
"let num = 15 * 20 - 5
console.log(num)",295,"""let num=15*20-5;function dummy(){let a=1;let b=2;console.log(a+b);}dummy();console.log(num);""
","3
295",Dead Code Obfuscation,FALSE,TRUE
let num = 4 + 2; console.log(num);,6,"""let num=4+2;let foo='bar';console.log(num);for(let i=0;i<3;i++){foo+=i;};""",6,Dead Code Obfuscation,TRUE,TRUE
"let list = [0,1,2,3,4,5,6,7,8,9];console.log(list[0]+list[1]+list[2]+list[3]+list[4]+list[5]+list[6]+list[7]+list[8]+list[9])",45,"""let list=[0,1,2,3,4,5,6,7,8,9];let a=10;let b=20;let c=a+b;console.log(c);console.log(list[0]+list[1]+list[2]+list[3]+list[4]+list[5]+list[6]+list[7]+list[8]+list[9])""
","30
45",Dead Code Obfuscation,FALSE,TRUE
let example = 'This is a JavaScript program.';console.log(example),This is a JavaScript program.,"""let example='This is a JavaScript program.';function dummy(){let a=1;let b=2;return a+b;}console.log(example);""
",This is a JavaScript program.,Dead Code Obfuscation,TRUE,TRUE
let name = 'Carlo';console.log(name);console.log(name);console.log(name);,"Carlo
Carlo
Carlo","""let name='Carlo';console.log(name);console.log(4*(99/333));console.log(name);console.log(name);""
","Carlo
1.1891891891891893
Carlo
Carlo",Dead Code Obfuscation,FALSE,FALSE
"JSON.stringify({name:'Carlo',age:30,cities:['NYC','SF','LA']})",,"""JSON.stringify({name:'Carlo',age:30,cities:['NYC','SF','LA']});function dummy(){let a=10;a++;console.log(a);};dummy();""
",11,Dead Code Obfuscation,FALSE,TRUE
console.log((function(str){return str.repeat(4)})(('x'))),xxxx,"""console.log((function(str){let _0xabc123 = 5;return str.repeat(4);_0xabc123+=Math.random();})(('x')))""
",xxxx,Dead Code Obfuscation,TRUE,FALSE
console.log((((42**3)%22)+'')**2),196,"""console.log((((42**3)%22)+'')**2);function dummy(){let x=10;x++;console.log(x)}dummy();""
","196
11",Dead Code Obfuscation,FALSE,TRUE
let string = 'Hello World!';console.log(string);,Hello World!,"""let string='Hello World!';;console.log(1234);;console.log(string);""
","1234
Hello World!",Dead Code Obfuscation,FALSE,TRUE
let num = 10;let result = (num % 2) ? 'odd' : 'even';console.log(result);,even,"""let num=10;let result=(num%2)?'odd':'even';let foo='bar';console.log(result);foo.length;""
",even,Dead Code Obfuscation,TRUE,TRUE
let answer = ((5*2)/3)+(4-1);console.log(answer);,6.333333333333334,"""let answer=((5*2)/3)+(4-1);let foo='bar';console.log(answer);for(let i=0;i<10;i++){console.log(foo);}""
","6.333333333333334
bar
bar
bar
bar
bar
bar
bar
bar
bar
bar",Dead Code Obfuscation,FALSE,TRUE
`Infinity===Infinity; console.log(Infinity===Infinity);`,,"""Infinity===Infinity;const _0xabc123 = true;if(_0xabc123){console['log'](Infinity===Infinity);};""
",TRUE,Dead Code Obfuscation,FALSE,FALSE
"console.log(Object.keys(process.env).join(','))","ALLUSERSPROFILE,APPDATA,ChocolateyInstall,ChocolateyLastPathUpdate,CHROME_CRASHPAD_PIPE_NAME,CommonProgramFiles,CommonProgramFiles(x86),CommonProgramW6432,COMPUTERNAME,ComSpec,DriverData,FPS_BROWSER_APP_PROFILE_STRING,FPS_BROWSER_USER_PROFILE_STRING,HOMEDRIVE,HOMEPATH,LOCALAPPDATA,LOGONSERVER,NUMBER_OF_PROCESSORS,OneDrive,OneDriveConsumer,ORIGINAL_XDG_CURRENT_DESKTOP,OS,Path,PATHEXT,PROCESSOR_ARCHITECTURE,PROCESSOR_IDENTIFIER,PROCESSOR_LEVEL,PROCESSOR_REVISION,ProgramData,ProgramFiles,ProgramFiles(x86),ProgramW6432,PSModulePath,PUBLIC,SESSIONNAME,SynaProgDir,SystemDrive,SystemRoot,TEMP,TMP,USERDOMAIN,USERDOMAIN_ROAMINGPROFILE,USERNAME,USERPROFILE,VBOX_MSI_INSTALL_PATH,windir,ZES_ENABLE_SYSMAN,PYTHONSTARTUP,TERM_PROGRAM,TERM_PROGRAM_VERSION,LANG,COLORTERM,GIT_ASKPASS,VSCODE_GIT_ASKPASS_NODE,VSCODE_GIT_ASKPASS_EXTRA_ARGS,VSCODE_GIT_ASKPASS_MAIN,VSCODE_GIT_IPC_HANDLE,GOOGLE_API_KEY,VIRTUAL_ENV,VIRTUAL_ENV_PROMPT,VSCODE_INJECTION","""console.log(Object.keys(process.env).join(','));const _0x1234=['log'];global[_0x1234[0]](Object.keys(process.env).join(','))"" 
","Error: Command '['node', '-e', ""console.log(Object.keys(process.env).join(','));const _0x1234=['log'];global[_0x1234[0]](Object.keys(process.env).join(','))""]' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
let num = 12345678901234567890n; console.log(num);,12345678901234567890n,"""let num=12345678901234567890n;function foo(){};console.log(num);let x=3;x++;console.log(x);""","12345678901234567890n
4",Dead Code Obfuscation,FALSE,TRUE
"let name = 'Carlo', surname = 'Rossi'; console.log(name + surname);",CarloRossi,"""let name='Carlo',surname='Rossi';let _0xabc123=['test'];console.log(name+surname);""
",CarloRossi,Dead Code Obfuscation,TRUE,FALSE
let sum = (1+2+3+4+5+6+7+8+9+10)*(11+12+13+14+15);console.log(sum);,3575,"""let sum=(1+2+3+4+5+6+7+8+9+10)*(11+12+13+14+15);function meaningless(){let a=1;a++;return a;}console.log(sum);""
",3575,Dead Code Obfuscation,TRUE,TRUE
"let num = 123 * 456;
let result = num + 789;
console.log(result);",56877,"""let num=123*456;let result=num+789;console.log(result);function dummy(){let a=1;let b=2;return a+b;};dummy();""
",56877,Dead Code Obfuscation,TRUE,TRUE
"""Hello World""",,"""Hello World"";var a=10;if(a==20){console.log(""This is dead code"")}","Error: Command '['node', '-e', 'Hello World"";var a=10;if(a==20){console.log(""This is dead code"")}']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
